Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-29,94.79,97.34,94.35,97.085,63332032.0,0.0,1.0,94.79,97.34,94.35,97.085,63332032.0
2016-01-28,93.79,94.52,92.39,94.09,55261406.0,0.0,1.0,93.79,94.52,92.39,94.09,55261406.0
2016-01-27,96.04,96.6289,93.34,93.441,131531406.0,0.0,1.0,96.04,96.6289,93.34,93.441,131531406.0
2016-01-26,99.93,100.88,98.07,99.99,62573303.0,0.0,1.0,99.93,100.88,98.07,99.99,62573303.0
2016-01-25,101.52,101.53,99.21,99.41,50305584.0,0.0,1.0,101.52,101.53,99.21,99.41,50305584.0
2016-01-22,98.63,101.46,98.37,101.42,64916723.0,0.0,1.0,98.63,101.46,98.37,101.42,64916723.0
2016-01-21,97.06,97.88,94.94,96.3,51089025.0,0.0,1.0,97.06,97.88,94.94,96.3,51089025.0
2016-01-20,95.1,98.1897,93.42,96.826,71542714.0,0.0,1.0,95.1,98.1897,93.42,96.826,71542714.0
2016-01-19,98.41,98.65,95.5,96.66,49290627.0,0.0,1.0,98.41,98.65,95.5,96.66,49290627.0
2016-01-15,96.2,97.71,95.36,97.02,74625424.0,0.0,1.0,96.2,97.71,95.36,97.02,74625424.0
2016-01-14,97.96,100.48,95.74,99.52,62104485.0,0.0,1.0,97.96,100.48,95.74,99.52,62104485.0
2016-01-13,100.32,101.19,97.3,97.371,61546177.0,0.0,1.0,100.32,101.19,97.3,97.371,61546177.0
2016-01-12,100.55,100.69,98.8399,99.96,48244763.0,0.0,1.0,100.55,100.69,98.8399,99.96,48244763.0
2016-01-11,98.97,99.06,97.34,98.53,49204585.0,0.0,1.0,98.97,99.06,97.34,98.53,49204585.0
2016-01-08,98.55,99.11,96.76,96.96,70176616.0,0.0,1.0,98.55,99.11,96.76,96.96,70176616.0
2016-01-07,98.68,100.13,96.43,96.45,81094428.0,0.0,1.0,98.68,100.13,96.43,96.45,81094428.0
2016-01-06,100.56,102.37,99.87,100.7,68057469.0,0.0,1.0,100.56,102.37,99.87,100.7,68057469.0
2016-01-05,105.75,105.85,102.41,102.714,55063623.0,0.0,1.0,105.75,105.85,102.41,102.714,55063623.0
2016-01-04,102.61,105.368,102.0,105.235,61975675.0,0.0,1.0,102.61,105.368,102.0,105.235,61975675.0
2015-12-31,107.01,107.03,104.82,105.26,40123438.0,0.0,1.0,107.01,107.03,104.82,105.26,40123438.0
2015-12-30,108.58,108.7,107.18,107.32,24265772.0,0.0,1.0,108.58,108.7,107.18,107.32,24265772.0
2015-12-29,106.96,109.43,106.86,108.74,30598887.0,0.0,1.0,106.96,109.43,106.86,108.74,30598887.0
2015-12-28,107.59,107.69,106.1807,106.82,26502466.0,0.0,1.0,107.59,107.69,106.1807,106.82,26502466.0
2015-12-24,109.0,109.0,107.95,108.03,13595745.0,0.0,1.0,109.0,109.0,107.95,108.03,13595745.0
2015-12-23,107.27,108.85,107.2,108.62,32296587.0,0.0,1.0,107.27,108.85,107.2,108.62,32296587.0
2015-12-22,107.4,107.72,106.451,107.23,31316821.0,0.0,1.0,107.4,107.72,106.451,107.23,31316821.0
2015-12-21,107.28,107.37,105.57,107.33,43501991.0,0.0,1.0,107.28,107.37,105.57,107.33,43501991.0
