Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-21,27.54,27.765,27.17,27.255,8028654.0,0.0,1.0,27.54,27.765,27.17,27.255,8028654.0
2015-08-20,28.64,28.73,27.93,27.98,5876692.0,0.0,1.0,28.64,28.73,27.93,27.98,5876692.0
2015-08-19,29.21,29.34,28.76,28.98,4980271.0,0.0,1.0,29.21,29.34,28.76,28.98,4980271.0
2015-08-18,29.5,29.7,29.09,29.22,4304024.0,0.0,1.0,29.5,29.7,29.09,29.22,4304024.0
2015-08-17,28.68,29.42,28.44,29.3,5867700.0,0.0,1.0,28.68,29.42,28.44,29.3,5867700.0
2015-08-14,28.74,28.89,28.47,28.68,2594963.0,0.0,1.0,28.74,28.89,28.47,28.68,2594963.0
2015-08-13,28.57,29.06,28.42,28.85,7316563.0,0.0,1.0,28.57,29.06,28.42,28.85,7316563.0
2015-08-12,28.21,28.76,27.82,28.66,8259526.0,0.0,1.0,28.21,28.76,27.82,28.66,8259526.0
2015-08-11,28.6,28.855,28.27,28.46,5681749.0,0.0,1.0,28.6,28.855,28.27,28.46,5681749.0
2015-08-10,28.88,29.18,28.79,28.81,5981741.0,0.0,1.0,28.88,29.18,28.79,28.81,5981741.0
2015-08-07,28.66,28.83,28.24,28.78,6936095.0,0.0,1.0,28.66,28.83,28.24,28.78,6936095.0
2015-08-06,28.8,29.0798,28.49,28.71,9201263.0,0.0,1.0,28.8,29.0798,28.49,28.71,9201263.0
2015-08-05,27.73,29.2,27.68,28.71,24962169.0,0.0,1.0,27.73,29.2,27.68,28.71,24962169.0
2015-08-04,25.57,25.835,25.44,25.67,7689613.0,0.0,1.0,25.57,25.835,25.44,25.67,7689613.0
2015-08-03,25.88,25.985,25.33,25.52,5894697.0,0.0,1.0,25.88,25.985,25.33,25.52,5894697.0
2015-07-31,26.04,26.14,25.66,25.79,5037767.0,0.0,1.0,26.04,26.14,25.66,25.79,5037767.0
2015-07-30,25.85,26.18,25.7075,26.08,5126012.0,0.0,1.0,25.85,26.18,25.7075,26.08,5126012.0
2015-07-29,25.62,26.03,25.5,25.98,3242614.0,0.0,1.0,25.62,26.03,25.5,25.98,3242614.0
2015-07-28,25.8,25.87,25.38,25.71,4392155.0,0.0,1.0,25.8,25.87,25.38,25.71,4392155.0
2015-07-27,26.04,26.1004,25.5,25.61,8084435.0,0.0,1.0,26.04,26.1004,25.5,25.61,8084435.0
2015-07-24,26.03,26.27,25.84,26.18,5542939.0,0.0,1.0,26.03,26.27,25.84,26.18,5542939.0
2015-07-23,25.95,26.255,25.81,25.94,3503054.0,0.0,1.0,25.95,26.255,25.81,25.94,3503054.0
2015-07-22,25.99,26.09,25.84,25.96,3195503.0,0.0,1.0,25.99,26.09,25.84,25.96,3195503.0
2015-07-21,26.25,26.45,26.08,26.09,4650581.0,0.0,1.0,26.25,26.45,26.08,26.09,4650581.0
2015-07-20,25.81,26.4099,25.76,26.25,5637742.0,0.0,1.0,25.81,26.4099,25.76,26.25,5637742.0
2015-07-17,25.98,26.02,25.64,25.81,3538243.0,0.0,1.0,25.98,26.02,25.64,25.81,3538243.0
2015-07-16,25.89,26.0,26.0,25.85,3600121.0,0.0,1.0,25.89,26.0,26.0,25.85,3600121.0
2015-07-15,25.94,26.09,25.56,25.765,5540719.0,0.0,1.0,25.94,26.09,25.56,25.765,5540719.0
2015-07-14,25.82,26.21,25.68,26.06,9035812.0,0.0,1.0,25.82,26.21,25.68,26.06,9035812.0
2015-07-10,25.37,25.61,25.23,25.36,5205240.0,0.0,1.0,25.37,25.61,25.23,25.36,5205240.0
2015-07-09,25.09,25.24,24.9,25.125,9864390.0,0.0,1.0,25.09,25.24,24.9,25.125,9864390.0
2015-07-08,24.84,25.148,24.75,24.8,8625001.0,0.0,1.0,24.84,25.148,24.75,24.8,8625001.0
2015-07-07,25.01,25.25,24.37,25.05,7048425.0,0.0,1.0,25.01,25.25,24.37,25.05,7048425.0
2015-07-06,24.41,25.005,24.3681,24.82,3734107.0,0.0,1.0,24.41,25.005,24.3681,24.82,3734107.0
2015-07-02,24.7,24.75,24.47,24.63,4753914.0,0.0,1.0,24.7,24.75,24.47,24.63,4753914.0
2015-07-01,24.4,24.96,24.32,24.73,8715476.0,0.0,1.0,24.4,24.96,24.32,24.73,8715476.0
2015-06-30,24.65,24.68,24.15,24.21,6857116.0,0.0,1.0,24.65,24.68,24.15,24.21,6857116.0
2015-06-29,24.71,24.87,24.44,24.49,4745052.0,0.0,1.0,24.71,24.87,24.44,24.49,4745052.0
2015-06-26,25.57,25.65,24.96,25.05,6211103.0,0.0,1.0,25.57,25.65,24.96,25.05,6211103.0
2015-06-25,25.46,25.65,25.34,25.4,3214270.0,0.0,1.0,25.46,25.65,25.34,25.4,3214270.0
2015-06-24,25.39,25.56,25.24,25.44,6532143.0,0.0,1.0,25.39,25.56,25.24,25.44,6532143.0
2015-06-23,25.24,25.47,25.16,25.42,3622716.0,0.0,1.0,25.24,25.47,25.16,25.42,3622716.0
2015-06-22,25.16,25.26,25.11,25.23,4414554.0,0.0,1.0,25.16,25.26,25.11,25.23,4414554.0
2015-06-19,25.19,25.2,24.88,25.01,6627398.0,0.0,1.0,25.19,25.2,24.88,25.01,6627398.0
2015-06-18,24.91,25.27,24.9001,25.14,7209386.0,0.0,1.0,24.91,25.27,24.9001,25.14,7209386.0
2015-06-17,24.88,24.97,24.675,24.87,6090162.0,0.0,1.0,24.88,24.97,24.675,24.87,6090162.0
2015-06-16,24.79,24.9,24.65,24.74,8897503.0,0.0,1.0,24.79,24.9,24.65,24.74,8897503.0
2015-06-15,25.26,25.27,24.48,24.54,11396311.0,0.0,1.0,25.26,25.27,24.48,24.54,11396311.0
2015-06-12,25.25,25.44,25.06,25.4,8228131.0,0.0,1.0,25.25,25.44,25.06,25.4,8228131.0
2015-06-11,25.08,25.39,24.93,25.3,13169196.0,0.0,1.0,25.08,25.39,24.93,25.3,13169196.0
2015-06-10,25.5,25.6,25.15,25.5,5329175.0,0.0,1.0,25.5,25.6,25.15,25.5,5329175.0
2015-06-09,25.45,25.88,25.2,25.52,7873396.0,0.0,1.0,25.45,25.88,25.2,25.52,7873396.0
2015-06-08,25.77,25.78,25.23,25.44,6238390.0,0.0,1.0,25.77,25.78,25.23,25.44,6238390.0
2015-06-05,25.63,25.83,25.55,25.77,2592032.0,0.0,1.0,25.63,25.83,25.55,25.77,2592032.0
2015-06-04,25.77,26.09,25.61,25.685,3662737.0,0.0,1.0,25.77,26.09,25.61,25.685,3662737.0
2015-06-03,25.76,26.055,25.665,25.96,5335151.0,0.0,1.0,25.76,26.055,25.665,25.96,5335151.0
2015-06-02,25.31,25.76,25.27,25.53,3771909.0,0.0,1.0,25.31,25.76,25.27,25.53,3771909.0
2015-06-01,25.44,25.65,25.15,25.395,4270781.0,0.0,1.0,25.44,25.65,25.15,25.395,4270781.0
