Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,126.42,127.49,124.24,125.8,2714477.0,0.0,1.0,126.42,127.49,124.24,125.8,2714477.0
2015-07-31,128.34,128.34,124.96,125.14,2950527.0,0.0,1.0,128.34,128.34,124.96,125.14,2950527.0
2015-07-30,125.74,128.795,125.07,127.728,3909054.0,0.0,1.0,125.74,128.795,125.07,127.728,3909054.0
2015-07-29,128.37,129.12,125.45,128.58,3210905.0,0.0,1.0,128.37,129.12,125.45,128.58,3210905.0
2015-07-28,125.58,129.55,123.52,128.42,2767292.0,0.0,1.0,125.58,129.55,123.52,128.42,2767292.0
2015-07-27,127.35,127.5,124.1,124.65,3472013.0,0.0,1.0,127.35,127.5,124.1,124.65,3472013.0
2015-07-24,133.51,133.85,128.34,128.48,3610152.0,0.0,1.0,133.51,133.85,128.34,128.48,3610152.0
2015-07-23,131.18,135.0,130.5,131.97,2930019.0,0.0,1.0,131.18,135.0,130.5,131.97,2930019.0
2015-07-22,127.04,129.998,125.38,129.59,6095430.0,0.0,1.0,127.04,129.998,125.38,129.59,6095430.0
2015-07-21,135.1,136.38,134.14,134.51,3070438.0,0.0,1.0,135.1,136.38,134.14,134.51,3070438.0
2015-07-20,134.55,135.62,133.75,134.64,2331660.0,0.0,1.0,134.55,135.62,133.75,134.64,2331660.0
2015-07-17,134.96,135.0,131.96,133.66,2882762.0,0.0,1.0,134.96,135.0,131.96,133.66,2882762.0
2015-07-16,133.63,134.77,134.77,134.7,3389874.0,0.0,1.0,133.63,134.77,134.77,134.7,3389874.0
2015-07-15,131.67,133.49,130.82,131.72,2299053.0,0.0,1.0,131.67,133.49,130.82,131.72,2299053.0
2015-07-14,129.35,132.48,128.51,132.3,2590427.0,0.0,1.0,129.35,132.48,128.51,132.3,2590427.0
2015-07-10,126.61,130.82,126.5,129.84,5043490.0,0.0,1.0,126.61,130.82,126.5,129.84,5043490.0
2015-07-09,130.18,131.36,123.72,124.68,7326816.0,0.0,1.0,130.18,131.36,123.72,124.68,7326816.0
2015-07-08,130.1,131.34,126.86,128.05,5110513.0,0.0,1.0,130.1,131.34,126.86,128.05,5110513.0
2015-07-07,133.95,134.45,126.16,132.84,5915849.0,0.0,1.0,133.95,134.45,126.16,132.84,5915849.0
2015-07-06,136.16,137.61,133.87,134.2,3010761.0,0.0,1.0,136.16,137.61,133.87,134.2,3010761.0
2015-07-02,135.6,137.75,135.35,137.64,3268213.0,0.0,1.0,135.6,137.75,135.35,137.64,3268213.0
2015-07-01,134.41,137.7,134.315,135.5,4254535.0,0.0,1.0,134.41,137.7,134.315,135.5,4254535.0
2015-06-30,133.8,134.38,132.12,133.02,2848524.0,0.0,1.0,133.8,134.38,132.12,133.02,2848524.0
2015-06-29,132.85,135.21,131.04,132.01,3447534.0,0.0,1.0,132.85,135.21,131.04,132.01,3447534.0
2015-06-26,138.85,139.04,134.75,135.15,6167424.0,0.0,1.0,138.85,139.04,134.75,135.15,6167424.0
2015-06-25,140.13,141.05,138.83,139.23,1735861.0,0.0,1.0,140.13,141.05,138.83,139.23,1735861.0
2015-06-24,142.06,142.22,139.83,139.97,2162239.0,0.0,1.0,142.06,142.22,139.83,139.97,2162239.0
2015-06-23,143.96,143.96,140.86,141.64,2140071.0,0.0,1.0,143.96,143.96,140.86,141.64,2140071.0
2015-06-22,144.16,145.14,142.0,143.275,2228557.0,0.0,1.0,144.16,145.14,142.0,143.275,2228557.0
2015-06-19,143.01,143.91,141.6,142.89,2563744.0,0.0,1.0,143.01,143.91,141.6,142.89,2563744.0
2015-06-18,140.73,143.75,140.73,142.95,2449525.0,0.0,1.0,140.73,143.75,140.73,142.95,2449525.0
2015-06-17,141.5,142.5,139.4565,140.685,2457289.0,0.0,1.0,141.5,142.5,139.4565,140.685,2457289.0
2015-06-16,142.7,143.49,141.38,141.99,2083741.0,0.0,1.0,142.7,143.49,141.38,141.99,2083741.0
2015-06-15,139.16,144.02,139.01,143.12,3422672.0,0.0,1.0,139.16,144.02,139.01,143.12,3422672.0
2015-06-12,141.29,141.48,139.8801,140.47,1914513.0,0.0,1.0,141.29,141.48,139.8801,140.47,1914513.0
2015-06-11,142.18,143.26,141.02,141.99,3151681.0,0.0,1.0,142.18,143.26,141.02,141.99,3151681.0
2015-06-10,139.93,143.98,139.84,142.86,4261656.0,0.0,1.0,139.93,143.98,139.84,142.86,4261656.0
2015-06-09,138.95,140.73,136.5101,140.21,4407137.0,0.0,1.0,138.95,140.73,136.5101,140.21,4407137.0
2015-06-08,143.57,143.77,137.53,138.63,5142286.0,0.0,1.0,143.57,143.77,137.53,138.63,5142286.0
2015-06-05,140.97,144.04,139.31,143.81,3707832.0,0.0,1.0,140.97,144.04,139.31,143.81,3707832.0
2015-06-04,142.49,143.435,140.48,141.2,2781375.0,0.0,1.0,142.49,143.435,140.48,141.2,2781375.0
2015-06-03,146.0,146.0,142.81,142.98,3014805.0,0.0,1.0,146.0,146.0,142.81,142.98,3014805.0
2015-06-02,146.41,146.67,143.1401,144.16,4096944.0,0.0,1.0,146.41,146.67,143.1401,144.16,4096944.0
2015-06-01,148.24,150.5,145.15,146.62,8344708.0,0.0,1.0,148.24,150.5,145.15,146.62,8344708.0
2015-05-29,144.12,149.24,144.11,148.07,11727216.0,0.0,1.0,144.12,149.24,144.11,148.07,11727216.0
2015-05-28,145.01,145.4725,136.0,142.38,24855935.0,0.0,1.0,145.01,145.4725,136.0,142.38,24855935.0
2015-05-27,132.09,144.823,131.6201,141.49,11356166.0,0.0,1.0,132.09,144.823,131.6201,141.49,11356166.0
2015-05-26,134.36,134.53,130.64,131.3,2663857.0,0.0,1.0,134.36,134.53,130.64,131.3,2663857.0
2015-05-22,129.82,133.8299,129.82,132.64,2279008.0,0.0,1.0,129.82,133.8299,129.82,132.64,2279008.0
2015-05-21,129.51,130.03,127.84,129.59,2106191.0,0.0,1.0,129.51,130.03,127.84,129.59,2106191.0
2015-05-20,129.94,131.075,128.11,129.11,1863694.0,0.0,1.0,129.94,131.075,128.11,129.11,1863694.0
2015-05-19,130.86,131.85,129.25,129.47,1594648.0,0.0,1.0,130.86,131.85,129.25,129.47,1594648.0
2015-05-18,127.95,130.4,127.28,130.18,1786327.0,0.0,1.0,127.95,130.4,127.28,130.18,1786327.0
2015-05-15,127.79,129.5,126.57,127.87,2236807.0,0.0,1.0,127.79,129.5,126.57,127.87,2236807.0
2015-05-14,124.14,128.68,123.6401,126.94,2327927.0,0.0,1.0,124.14,128.68,123.6401,126.94,2327927.0
2015-05-13,123.63,124.84,122.31,123.13,1144371.0,0.0,1.0,123.63,124.84,122.31,123.13,1144371.0
2015-05-12,122.02,123.58,121.3,122.95,1026435.0,0.0,1.0,122.02,123.58,121.3,122.95,1026435.0
2015-05-11,123.57,123.86,122.5975,122.81,1241770.0,0.0,1.0,123.57,123.86,122.5975,122.81,1241770.0
2015-05-08,123.2,124.93,122.73,123.33,1484612.0,0.0,1.0,123.2,124.93,122.73,123.33,1484612.0
2015-05-07,120.0,123.64,120.0,122.48,2354180.0,0.0,1.0,120.0,123.64,120.0,122.48,2354180.0
2015-05-06,117.84,118.37,115.39,116.775,1447542.0,0.0,1.0,117.84,118.37,115.39,116.775,1447542.0
2015-05-05,120.1,120.67,116.63,116.785,2208950.0,0.0,1.0,120.1,120.67,116.63,116.785,2208950.0
2015-05-04,122.83,123.8468,120.86,121.16,1420702.0,0.0,1.0,122.83,123.8468,120.86,121.16,1420702.0
2015-05-01,117.92,123.43,117.88,122.8,2466803.0,0.0,1.0,117.92,123.43,117.88,122.8,2466803.0
2015-04-30,116.69,118.94,116.26,116.88,2053184.0,0.0,1.0,116.69,118.94,116.26,116.88,2053184.0
2015-04-29,116.02,117.52,114.751,117.03,2073694.0,0.0,1.0,116.02,117.52,114.751,117.03,2073694.0
2015-04-28,120.38,121.0,114.56,117.45,3070325.0,0.0,1.0,120.38,121.0,114.56,117.45,3070325.0
2015-04-27,120.0,121.94,118.72,120.15,2703179.0,0.0,1.0,120.0,121.94,118.72,120.15,2703179.0
2015-04-24,123.73,123.73,115.87,119.5,5457882.0,0.0,1.0,123.73,123.73,115.87,119.5,5457882.0
2015-04-23,125.22,125.46,122.55,124.07,2718200.0,0.0,1.0,125.22,125.46,122.55,124.07,2718200.0
2015-04-22,123.91,128.0,122.75,127.895,2232130.0,0.0,1.0,123.91,128.0,122.75,127.895,2232130.0
2015-04-21,124.32,125.05,122.94,123.1,2046594.0,0.0,1.0,124.32,125.05,122.94,123.1,2046594.0
2015-04-20,122.5,123.82,122.2,123.025,1320512.0,0.0,1.0,122.5,123.82,122.2,123.025,1320512.0
