Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,75.86,76.16,75.43,75.98,5122139.0,0.0,1.0,75.86,76.16,75.43,75.98,5122139.0
2015-07-31,76.39,76.6698,75.99,76.06,6290400.0,0.0,1.0,76.39,76.6698,75.99,76.06,6290400.0
2015-07-30,75.79,76.21,75.64,76.12,4744244.0,0.0,1.0,75.79,76.21,75.64,76.12,4744244.0
2015-07-29,75.11,76.01,74.92,75.7,4537582.0,0.0,1.0,75.11,76.01,74.92,75.7,4537582.0
2015-07-28,75.12,75.57,74.37,75.11,5439386.0,0.0,1.0,75.12,75.57,74.37,75.11,5439386.0
2015-07-27,75.44,75.6,74.3,74.92,9818044.0,0.0,1.0,75.44,75.6,74.3,74.92,9818044.0
2015-07-24,76.65,77.15,75.68,75.9,8626895.0,0.0,1.0,76.65,77.15,75.68,75.9,8626895.0
2015-07-23,77.7,77.95,76.13,77.01,12216108.0,0.0,1.0,77.7,77.95,76.13,77.01,12216108.0
2015-07-22,78.8,79.19,78.601,78.99,4272869.0,0.0,1.0,78.8,79.19,78.601,78.99,4272869.0
2015-07-21,79.2,79.41,78.45,78.95,3933443.0,0.0,1.0,79.2,79.41,78.45,78.95,3933443.0
2015-07-20,79.2,79.63,79.18,79.3,3517713.0,0.0,1.0,79.2,79.63,79.18,79.3,3517713.0
2015-07-17,78.74,79.25,78.65,79.22,3066395.0,0.0,1.0,78.74,79.25,78.65,79.22,3066395.0
2015-07-16,79.0,79.16,79.16,78.92,4081375.0,0.0,1.0,79.0,79.16,79.16,78.92,4081375.0
2015-07-15,79.01,79.36,78.32,78.54,3936228.0,0.0,1.0,79.01,79.36,78.32,78.54,3936228.0
2015-07-14,78.6,79.14,78.21,78.97,3850090.0,0.0,1.0,78.6,79.14,78.21,78.97,3850090.0
2015-07-10,77.31,77.49,76.91,77.31,3008616.0,0.0,1.0,77.31,77.49,76.91,77.31,3008616.0
2015-07-09,76.63,77.45,76.29,76.34,3900575.0,0.0,1.0,76.63,77.45,76.29,76.34,3900575.0
2015-07-08,76.89,77.2,75.75,75.93,5487267.0,0.0,1.0,76.89,77.2,75.75,75.93,5487267.0
2015-07-07,77.56,77.8,76.41,77.55,7176530.0,0.0,1.0,77.56,77.8,76.41,77.55,7176530.0
2015-07-06,77.55,77.85,77.34,77.59,5691196.0,0.0,1.0,77.55,77.85,77.34,77.59,5691196.0
2015-07-02,78.69,79.13,78.18,78.21,4525777.0,0.0,1.0,78.69,79.13,78.18,78.21,4525777.0
2015-07-01,78.64,78.91,78.16,78.4,5316231.0,0.0,1.0,78.64,78.91,78.16,78.4,5316231.0
2015-06-30,78.17,78.41,77.65,77.945,6180112.0,0.0,1.0,78.17,78.41,77.65,77.945,6180112.0
2015-06-29,79.22,79.35,77.74,77.8,8455070.0,0.0,1.0,79.22,79.35,77.74,77.8,8455070.0
2015-06-26,80.17,80.45,79.8345,80.11,4347736.0,0.0,1.0,80.17,80.45,79.8345,80.11,4347736.0
2015-06-25,80.99,81.0,79.88,79.88,6568901.0,0.0,1.0,80.99,81.0,79.88,79.88,6568901.0
2015-06-24,80.94,81.36,80.74,80.74,5609112.0,0.0,1.0,80.94,81.36,80.74,80.74,5609112.0
2015-06-23,81.44,81.92,81.29,81.36,5330164.0,0.0,1.0,81.44,81.92,81.29,81.36,5330164.0
2015-06-22,80.68,81.71,80.66,81.25,5517738.0,0.0,1.0,80.68,81.71,80.66,81.25,5517738.0
2015-06-19,80.52,80.62,79.79,80.19,12910737.0,0.0,1.0,80.52,80.62,79.79,80.19,12910737.0
2015-06-18,80.24,80.9,79.81,80.77,4601713.0,0.0,1.0,80.24,80.9,79.81,80.77,4601713.0
2015-06-17,79.64,80.86,79.46,80.32,6941099.0,0.0,1.0,79.64,80.86,79.46,80.32,6941099.0
2015-06-16,79.04,79.8,79.0,79.36,6984639.0,0.0,1.0,79.04,79.8,79.0,79.36,6984639.0
2015-06-15,79.0,79.37,78.82,79.25,4894169.0,0.0,1.0,79.0,79.37,78.82,79.25,4894169.0
2015-06-12,80.43,80.45,79.11,79.53,6253475.0,0.0,1.0,80.43,80.45,79.11,79.53,6253475.0
2015-06-11,80.34,80.77,80.0,80.3,4013377.0,0.0,1.0,80.34,80.77,80.0,80.3,4013377.0
2015-06-10,79.2,80.49,79.2,80.19,5865352.0,0.0,1.0,79.2,80.49,79.2,80.19,5865352.0
2015-06-09,78.88,79.39,78.86,79.17,4506269.0,0.0,1.0,78.88,79.39,78.86,79.17,4506269.0
2015-06-08,79.43,79.84,78.8,78.81,5883574.0,0.0,1.0,79.43,79.84,78.8,78.81,5883574.0
2015-06-05,79.74,79.88,79.23,79.39,4817000.0,0.0,1.0,79.74,79.88,79.23,79.39,4817000.0
2015-06-04,80.05,80.34,79.2,79.36,5438075.0,0.0,1.0,80.05,80.34,79.2,79.36,5438075.0
2015-06-03,80.32,81.27,80.12,80.6,4321729.0,0.0,1.0,80.32,81.27,80.12,80.6,4321729.0
2015-06-02,79.26,80.27,79.18,79.99,4197300.0,0.0,1.0,79.26,80.27,79.18,79.99,4197300.0
2015-06-01,79.94,80.17,78.95,79.47,4716719.0,0.0,1.0,79.94,80.17,78.95,79.47,4716719.0
2015-05-29,80.04,80.1,79.58,79.72,7385145.0,0.0,1.0,80.04,80.1,79.58,79.72,7385145.0
2015-05-28,79.97,80.25,79.88,80.09,4444099.0,0.0,1.0,79.97,80.25,79.88,80.09,4444099.0
2015-05-27,80.45,80.63,79.84,80.11,5105088.0,0.0,1.0,80.45,80.63,79.84,80.11,5105088.0
2015-05-26,81.12,81.46,79.94,80.19,5273869.0,0.0,1.0,81.12,81.46,79.94,80.19,5273869.0
2015-05-22,80.84,81.58,80.72,81.25,3395835.0,0.0,1.0,80.84,81.58,80.72,81.25,3395835.0
2015-05-21,80.54,81.17,80.41,80.76,4249682.0,0.0,1.0,80.54,81.17,80.41,80.76,4249682.0
2015-05-20,81.41,81.45,80.78,80.96,3986574.0,0.0,1.0,81.41,81.45,80.78,80.96,3986574.0
2015-05-19,80.37,81.595,80.37,81.36,6063537.0,0.0,1.0,80.37,81.595,80.37,81.36,6063537.0
2015-05-18,80.28,80.55,79.78,80.17,4579850.0,0.0,1.0,80.28,80.55,79.78,80.17,4579850.0
2015-05-15,80.9,81.1612,79.99,80.22,4479254.0,0.0,1.0,80.9,81.1612,79.99,80.22,4479254.0
2015-05-14,80.34,80.9,80.265,80.75,4450597.0,0.0,1.0,80.34,80.9,80.265,80.75,4450597.0
2015-05-13,79.5,80.01,79.27,79.86,5448022.0,0.0,1.0,79.5,80.01,79.27,79.86,5448022.0
2015-05-12,79.15,79.43,78.44,79.08,4574310.0,0.0,1.0,79.15,79.43,78.44,79.08,4574310.0
2015-05-11,79.05,80.25,79.01,79.7,5827094.0,0.0,1.0,79.05,80.25,79.01,79.7,5827094.0
2015-05-08,78.89,79.64,78.77,78.98,7198087.0,0.0,1.0,78.89,79.64,78.77,78.98,7198087.0
2015-05-07,77.84,78.74,77.6,78.43,7924637.0,0.0,1.0,77.84,78.74,77.6,78.43,7924637.0
2015-05-06,78.7,78.85,77.39,77.85,5897435.0,0.0,1.0,78.7,78.85,77.39,77.85,5897435.0
2015-05-05,77.98,78.52,77.78,77.84,5325813.0,0.0,1.0,77.98,78.52,77.78,77.84,5325813.0
2015-05-04,77.96,78.54,77.74,78.28,3897793.0,0.0,1.0,77.96,78.54,77.74,78.28,3897793.0
2015-05-01,77.85,77.89,77.31,77.68,3859217.0,0.0,1.0,77.85,77.89,77.31,77.68,3859217.0
2015-04-30,77.04,77.68,76.98,77.45,6753217.0,0.0,1.0,77.04,77.68,76.98,77.45,6753217.0
2015-04-29,77.13,77.47,77.0,77.16,4311682.0,0.0,1.0,77.13,77.47,77.0,77.16,4311682.0
2015-04-28,77.69,77.73,76.94,77.49,6492927.0,0.0,1.0,77.69,77.73,76.94,77.49,6492927.0
2015-04-27,77.83,77.96,77.04,77.49,6891514.0,0.0,1.0,77.83,77.96,77.04,77.49,6891514.0
2015-04-24,78.3,78.327,77.77,77.99,3400709.0,0.0,1.0,78.3,78.327,77.77,77.99,3400709.0
2015-04-23,78.06,78.37,77.7399,78.15,4807495.0,0.0,1.0,78.06,78.37,77.7399,78.15,4807495.0
2015-04-22,77.41,78.65,77.18,78.44,7317875.0,0.0,1.0,77.41,78.65,77.18,78.44,7317875.0
2015-04-21,77.38,77.8,77.24,77.28,5124995.0,0.0,1.0,77.38,77.8,77.24,77.28,5124995.0
2015-04-20,77.39,77.85,76.96,77.23,8432099.0,0.0,1.0,77.39,77.85,76.96,77.23,8432099.0
2015-04-17,78.4,78.5,76.53,77.32,22098119.0,0.0,1.0,78.4,78.5,76.53,77.32,22098119.0
2015-04-16,79.43,81.1715,79.25,80.91,8084767.0,0.0,1.0,79.43,81.1715,79.25,80.91,8084767.0
2015-04-15,79.43,80.3,79.42,79.75,6042720.0,0.0,1.0,79.43,80.3,79.42,79.75,6042720.0
2015-04-14,79.6,79.9699,78.89,79.49,4213151.0,0.0,1.0,79.6,79.9699,78.89,79.49,4213151.0
2015-04-13,79.73,79.99,79.26,79.27,4091974.0,0.0,1.0,79.73,79.99,79.26,79.27,4091974.0
2015-04-10,79.42,79.97,79.2,79.59,3441961.0,0.0,1.0,79.42,79.97,79.2,79.59,3441961.0
2015-04-09,78.63,79.33,78.41,79.16,4277576.0,0.0,1.0,78.63,79.33,78.41,79.16,4277576.0
2015-04-08,78.42,79.36,78.3,78.69,6405810.0,0.0,1.0,78.42,79.36,78.3,78.69,6405810.0
2015-04-07,78.59,79.38,78.26,78.33,5918369.0,0.0,1.0,78.59,79.38,78.26,78.33,5918369.0
2015-04-06,79.34,80.1,78.73,79.63,3831064.0,0.0,1.0,79.34,80.1,78.73,79.63,3831064.0
2015-04-02,78.93,79.77,78.57,79.7,5695160.0,0.0,1.0,78.93,79.77,78.57,79.7,5695160.0
2015-04-01,78.05,79.32,77.85,78.93,6163459.0,0.0,1.0,78.05,79.32,77.85,78.93,6163459.0
2015-03-31,77.89,78.53,77.62,78.12,5918270.0,0.26,1.0,77.89,78.53,77.62,78.12,5918270.0
2015-03-30,78.35,78.75,78.0,78.05,7284652.0,0.0,1.0,78.090099515182,78.488772646083,77.741260525644,77.791094667007,7284652.0
2015-03-27,78.4,78.64,77.71,77.97,9014083.0,0.0,1.0,78.139933656545,78.379137535085,77.452222505741,77.711360040827,9014083.0
2015-03-26,79.67,79.78,77.885,78.48,16181310.0,0.0,1.0,79.405720847155,79.515355958153,77.62664200051,78.219668282725,16181310.0
2015-03-25,81.42,81.47,80.03,80.11,8908014.0,0.0,1.0,81.149915794846,81.199749936208,79.764526664966,79.844261291146,8908014.0
2015-03-24,82.04,82.16,81.27,81.37,5190381.0,0.0,1.0,81.767859147742,81.887461087012,81.000413370758,81.100081653483,5190381.0
2015-03-23,82.7,83.54,82.2,82.2,7290984.0,0.0,1.0,82.425669813728,83.26288338862,81.927328400102,81.927328400102,7290984.0
2015-03-20,81.79,83.06,81.5,82.7,9338054.0,0.0,1.0,81.518688440929,82.784475631539,81.229650421026,82.425669813728,9338054.0
2015-03-19,81.84,81.96,80.94,81.54,4677008.0,0.0,1.0,81.568522582291,81.688124521562,80.671508037765,81.269517734116,4677008.0
2015-03-18,80.58,82.32,80.27,81.86,6448978.0,0.0,1.0,80.312702219954,82.046930339372,80.003730543506,81.588456238836,6448978.0
