Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,33.81,33.93,33.43,33.63,2277200.0,0.0,1.0,33.81,33.93,33.43,33.63,2277200.0
2015-07-31,34.33,34.4,33.96,34.03,2587643.0,0.0,1.0,34.33,34.4,33.96,34.03,2587643.0
2015-07-30,34.45,34.74,34.21,34.41,2456324.0,0.0,1.0,34.45,34.74,34.21,34.41,2456324.0
2015-07-29,34.46,34.79,34.32,34.48,1984317.0,0.0,1.0,34.46,34.79,34.32,34.48,1984317.0
2015-07-28,34.02,34.92,33.79,34.46,3810673.0,0.0,1.0,34.02,34.92,33.79,34.46,3810673.0
2015-07-27,33.58,34.02,32.96,33.85,4808577.0,0.0,1.0,33.58,34.02,32.96,33.85,4808577.0
2015-07-24,34.43,35.71,32.75,33.57,9768307.0,0.0,1.0,34.43,35.71,32.75,33.57,9768307.0
2015-07-23,30.57,31.14,30.48,30.73,3593770.0,0.0,1.0,30.57,31.14,30.48,30.73,3593770.0
2015-07-22,30.34,30.47,30.05,30.23,4209206.0,0.0,1.0,30.34,30.47,30.05,30.23,4209206.0
2015-07-21,31.11,31.53,31.02,31.28,2930745.0,0.0,1.0,31.11,31.53,31.02,31.28,2930745.0
2015-07-20,31.54,31.54,31.11,31.13,3859981.0,0.0,1.0,31.54,31.54,31.11,31.13,3859981.0
2015-07-17,31.95,32.0,31.36,31.54,2981312.0,0.0,1.0,31.95,32.0,31.36,31.54,2981312.0
2015-07-16,32.17,32.28,32.28,31.91,2744870.0,0.0,1.0,32.17,32.28,32.28,31.91,2744870.0
2015-07-15,32.47,32.61,32.05,32.25,1997640.0,0.0,1.0,32.47,32.61,32.05,32.25,1997640.0
2015-07-14,32.25,32.52,32.05,32.41,4019295.0,0.0,1.0,32.25,32.52,32.05,32.41,4019295.0
2015-07-10,32.22,32.27,31.78,32.27,2748820.0,0.0,1.0,32.22,32.27,31.78,32.27,2748820.0
2015-07-09,33.28,33.42,32.01,32.03,2371877.0,0.0,1.0,33.28,33.42,32.01,32.03,2371877.0
2015-07-08,32.97,33.35,32.3,32.855,4001515.0,0.0,1.0,32.97,33.35,32.3,32.855,4001515.0
2015-07-07,33.8,34.0,33.12,33.72,3138082.0,0.0,1.0,33.8,34.0,33.12,33.72,3138082.0
2015-07-06,34.38,34.655,34.05,34.17,2448606.0,0.0,1.0,34.38,34.655,34.05,34.17,2448606.0
2015-07-02,34.51,34.68,34.35,34.56,1300406.0,0.0,1.0,34.51,34.68,34.35,34.56,1300406.0
2015-07-01,34.8,34.9,34.4,34.495,2147529.0,0.0,1.0,34.8,34.9,34.4,34.495,2147529.0
2015-06-30,34.86,34.934,34.42,34.57,2312161.0,0.0,1.0,34.86,34.934,34.42,34.57,2312161.0
2015-06-29,34.5,34.74,34.22,34.375,2640651.0,0.0,1.0,34.5,34.74,34.22,34.375,2640651.0
2015-06-26,35.21,35.295,34.65,34.75,3476751.0,0.0,1.0,35.21,35.295,34.65,34.75,3476751.0
2015-06-25,35.39,35.5,35.19,35.335,1581623.0,0.0,1.0,35.39,35.5,35.19,35.335,1581623.0
2015-06-24,35.45,35.65,35.31,35.34,1865931.0,0.0,1.0,35.45,35.65,35.31,35.34,1865931.0
2015-06-23,35.74,35.79,35.39,35.47,1279063.0,0.0,1.0,35.74,35.79,35.39,35.47,1279063.0
2015-06-22,35.41,35.73,35.27,35.65,2742764.0,0.0,1.0,35.41,35.73,35.27,35.65,2742764.0
2015-06-19,34.61,35.81,33.96,35.56,7224265.0,0.0,1.0,34.61,35.81,33.96,35.56,7224265.0
2015-06-18,34.1,34.55,33.91,34.42,2364133.0,0.0,1.0,34.1,34.55,33.91,34.42,2364133.0
2015-06-17,34.23,34.285,34.02,34.225,1638963.0,0.0,1.0,34.23,34.285,34.02,34.225,1638963.0
2015-06-16,34.12,34.27,33.9,34.08,1872000.0,0.0,1.0,34.12,34.27,33.9,34.08,1872000.0
2015-06-15,33.82,34.19,33.46,34.18,1628797.0,0.0,1.0,33.82,34.19,33.46,34.18,1628797.0
2015-06-12,34.16,34.21,33.78,33.95,2363407.0,0.0,1.0,34.16,34.21,33.78,33.95,2363407.0
2015-06-11,34.25,34.35,34.05,34.335,1078594.0,0.0,1.0,34.25,34.35,34.05,34.335,1078594.0
2015-06-10,33.72,34.23,33.62,34.14,2309087.0,0.0,1.0,33.72,34.23,33.62,34.14,2309087.0
2015-06-09,33.7,33.75,33.29,33.63,2226101.0,0.0,1.0,33.7,33.75,33.29,33.63,2226101.0
2015-06-08,34.2,34.24,33.72,33.83,2286177.0,0.0,1.0,34.2,34.24,33.72,33.83,2286177.0
2015-06-05,34.04,34.19,33.74,34.09,2016526.0,0.0,1.0,34.04,34.19,33.74,34.09,2016526.0
2015-06-04,33.95,34.2,33.88,34.02,2482481.0,0.0,1.0,33.95,34.2,33.88,34.02,2482481.0
2015-06-03,34.31,34.56,34.16,34.195,2535122.0,0.0,1.0,34.31,34.56,34.16,34.195,2535122.0
2015-06-02,34.49,34.63,33.96,34.0,3144695.0,0.0,1.0,34.49,34.63,33.96,34.0,3144695.0
2015-06-01,35.06,35.18,34.64,34.67,2462098.0,0.0,1.0,35.06,35.18,34.64,34.67,2462098.0
2015-05-29,34.77,35.17,34.49,35.07,3390780.0,0.0,1.0,34.77,35.17,34.49,35.07,3390780.0
2015-05-28,34.4,34.82,33.94,34.72,4432463.0,0.0,1.0,34.4,34.82,33.94,34.72,4432463.0
2015-05-27,33.95,34.72,33.87,34.44,4368420.0,0.0,1.0,33.95,34.72,33.87,34.44,4368420.0
2015-05-26,34.04,34.19,33.8,33.965,1715966.0,0.0,1.0,34.04,34.19,33.8,33.965,1715966.0
2015-05-22,34.22,34.55,34.21,34.395,1558708.0,0.0,1.0,34.22,34.55,34.21,34.395,1558708.0
2015-05-21,34.25,34.36,33.91,34.26,1648237.0,0.0,1.0,34.25,34.36,33.91,34.26,1648237.0
2015-05-20,34.09,34.47,34.0352,34.25,4268225.0,0.0,1.0,34.09,34.47,34.0352,34.25,4268225.0
2015-05-19,34.31,34.48,33.95,34.11,1970005.0,0.0,1.0,34.31,34.48,33.95,34.11,1970005.0
2015-05-18,33.82,34.4415,33.81,34.36,2347559.0,0.0,1.0,33.82,34.4415,33.81,34.36,2347559.0
2015-05-15,34.06,34.6,33.68,34.19,4272618.0,0.0,1.0,34.06,34.6,33.68,34.19,4272618.0
2015-05-14,32.66,34.86,32.53,34.105,4761214.0,0.0,1.0,32.66,34.86,32.53,34.105,4761214.0
2015-05-13,32.57,32.84,32.29,32.52,1181793.0,0.0,1.0,32.57,32.84,32.29,32.52,1181793.0
2015-05-12,32.79,32.79,32.25,32.38,2836717.0,0.0,1.0,32.79,32.79,32.25,32.38,2836717.0
2015-05-11,32.45,33.05,32.45,32.925,1967115.0,0.0,1.0,32.45,33.05,32.45,32.925,1967115.0
2015-05-08,32.39,32.84,32.38,32.54,1269993.0,0.0,1.0,32.39,32.84,32.38,32.54,1269993.0
2015-05-07,32.36,32.64,32.195,32.28,1555729.0,0.0,1.0,32.36,32.64,32.195,32.28,1555729.0
2015-05-06,32.39,32.55,31.97,32.26,1711246.0,0.0,1.0,32.39,32.55,31.97,32.26,1711246.0
2015-05-05,32.89,33.01,32.24,32.28,1670988.0,0.0,1.0,32.89,33.01,32.24,32.28,1670988.0
2015-05-04,33.26,33.31,33.02,33.09,1135745.0,0.0,1.0,33.26,33.31,33.02,33.09,1135745.0
2015-05-01,32.91,33.13,32.61,33.095,2551900.0,0.0,1.0,32.91,33.13,32.61,33.095,2551900.0
2015-04-30,32.75,33.1,32.62,32.83,2340159.0,0.0,1.0,32.75,33.1,32.62,32.83,2340159.0
2015-04-29,32.87,33.32,32.53,32.86,2458541.0,0.0,1.0,32.87,33.32,32.53,32.86,2458541.0
2015-04-28,33.12,33.31,32.675,33.135,2818643.0,0.0,1.0,33.12,33.31,32.675,33.135,2818643.0
2015-04-27,32.82,33.4,32.785,33.105,3970290.0,0.0,1.0,32.82,33.4,32.785,33.105,3970290.0
2015-04-24,31.95,32.8,30.6305,32.78,7933506.0,0.0,1.0,31.95,32.8,30.6305,32.78,7933506.0
2015-04-23,34.07,34.915,33.9,34.74,3071779.0,0.0,1.0,34.07,34.915,33.9,34.74,3071779.0
2015-04-22,35.33,35.38,34.8,35.0,1649681.0,0.0,1.0,35.33,35.38,34.8,35.0,1649681.0
2015-04-21,35.5,35.5,35.0844,35.19,1526688.0,0.0,1.0,35.5,35.5,35.0844,35.19,1526688.0
2015-04-20,34.87,35.3,34.608,35.19,1715837.0,0.0,1.0,34.87,35.3,34.608,35.19,1715837.0
2015-04-17,34.87,34.98,34.49,34.58,1905693.0,0.0,1.0,34.87,34.98,34.49,34.58,1905693.0
2015-04-16,34.97,35.16,34.76,35.0,2124679.0,0.0,1.0,34.97,35.16,34.76,35.0,2124679.0
2015-04-15,34.96,35.16,34.74,35.075,2018968.0,0.0,1.0,34.96,35.16,34.74,35.075,2018968.0
2015-04-14,35.11,35.2,34.65,34.7,1011307.0,0.0,1.0,35.11,35.2,34.65,34.7,1011307.0
2015-04-13,35.2,35.53,35.07,35.08,1444823.0,0.0,1.0,35.2,35.53,35.07,35.08,1444823.0
2015-04-10,35.26,35.405,35.12,35.165,1552037.0,0.0,1.0,35.26,35.405,35.12,35.165,1552037.0
2015-04-09,35.12,35.345,34.9,35.23,2187550.0,0.0,1.0,35.12,35.345,34.9,35.23,2187550.0
2015-04-08,34.96,35.15,34.64,35.0,1780781.0,0.0,1.0,34.96,35.15,34.64,35.0,1780781.0
2015-04-07,35.05,35.22,34.81,34.82,1167231.0,0.0,1.0,35.05,35.22,34.81,34.82,1167231.0
2015-04-06,34.8,35.15,34.47,34.965,1532978.0,0.0,1.0,34.8,35.15,34.47,34.965,1532978.0
2015-04-02,35.19,35.24,34.68,34.82,1876676.0,0.0,1.0,35.19,35.24,34.68,34.82,1876676.0
2015-04-01,35.01,35.09,34.14,34.955,4198239.0,0.0,1.0,35.01,35.09,34.14,34.955,4198239.0
2015-03-31,35.16,35.24,34.73,34.81,2684278.0,0.0,1.0,35.16,35.24,34.73,34.81,2684278.0
2015-03-30,34.8,35.03,34.4,34.975,2790492.0,0.0,1.0,34.8,35.03,34.4,34.975,2790492.0
2015-03-27,34.12,34.845,33.93,34.64,2251508.0,0.0,1.0,34.12,34.845,33.93,34.64,2251508.0
2015-03-26,33.41,33.99,33.15,33.9,2624504.0,0.0,1.0,33.41,33.99,33.15,33.9,2624504.0
2015-03-25,35.74,35.84,33.68,33.9,4857752.0,0.0,1.0,35.74,35.84,33.68,33.9,4857752.0
2015-03-24,35.99,36.1,35.44,35.46,2116888.0,0.0,1.0,35.99,36.1,35.44,35.46,2116888.0
2015-03-23,36.28,36.37,36.03,36.05,1913619.0,0.0,1.0,36.28,36.37,36.03,36.05,1913619.0
2015-03-20,36.17,36.37,35.98,36.19,2561069.0,0.0,1.0,36.17,36.37,35.98,36.19,2561069.0
2015-03-19,35.96,36.07,35.71,35.785,1847035.0,0.0,1.0,35.96,36.07,35.71,35.785,1847035.0
2015-03-18,36.03,36.355,35.7,36.05,3643279.0,0.0,1.0,36.03,36.355,35.7,36.05,3643279.0
2015-03-17,35.84,36.24,35.63,36.225,2314948.0,0.0,1.0,35.84,36.24,35.63,36.225,2314948.0
2015-03-16,35.36,36.17,35.3,36.16,2697551.0,0.0,1.0,35.36,36.17,35.3,36.16,2697551.0
2015-03-13,35.19,35.28,34.92,35.25,1932940.0,0.0,1.0,35.19,35.28,34.92,35.25,1932940.0
2015-03-12,34.73,35.25,34.7101,35.16,1787628.0,0.0,1.0,34.73,35.25,34.7101,35.16,1787628.0
2015-03-11,35.49,35.71,34.96,35.06,2275494.0,0.0,1.0,35.49,35.71,34.96,35.06,2275494.0
2015-03-10,35.53,35.76,35.2,35.21,3015376.0,0.0,1.0,35.53,35.76,35.2,35.21,3015376.0
2015-03-09,35.97,36.36,35.69,35.74,3142151.0,0.0,1.0,35.97,36.36,35.69,35.74,3142151.0
2015-03-06,35.56,36.09,35.34,35.67,4201776.0,0.0,1.0,35.56,36.09,35.34,35.67,4201776.0
2015-03-05,35.44,35.965,35.27,35.61,2602340.0,0.0,1.0,35.44,35.965,35.27,35.61,2602340.0
2015-03-04,35.01,35.56,34.77,35.39,3300227.0,0.0,1.0,35.01,35.56,34.77,35.39,3300227.0
2015-03-03,35.57,35.69,34.8,35.09,4227878.0,0.0,1.0,35.57,35.69,34.8,35.09,4227878.0
2015-03-02,34.6,35.6,34.6,35.57,3805886.0,0.0,1.0,34.6,35.6,34.6,35.57,3805886.0
2015-02-27,34.47,34.63,34.3,34.395,2305930.0,0.0,1.0,34.47,34.63,34.3,34.395,2305930.0
2015-02-26,34.56,34.7,34.39,34.5,1826430.0,0.0,1.0,34.56,34.7,34.39,34.5,1826430.0
2015-02-25,34.76,34.83,34.37,34.48,1219924.0,0.0,1.0,34.76,34.83,34.37,34.48,1219924.0
2015-02-24,34.46,34.84,34.23,34.765,1292756.0,0.0,1.0,34.46,34.84,34.23,34.765,1292756.0
2015-02-23,34.56,34.68,34.3,34.465,873174.0,0.0,1.0,34.56,34.68,34.3,34.465,873174.0
2015-02-20,34.46,34.61,34.25,34.6,1493764.0,0.0,1.0,34.46,34.61,34.25,34.6,1493764.0
2015-02-19,34.49,34.65,34.34,34.52,1093248.0,0.0,1.0,34.49,34.65,34.34,34.52,1093248.0
2015-02-18,34.33,34.76,34.26,34.62,1560378.0,0.0,1.0,34.33,34.76,34.26,34.62,1560378.0
2015-02-17,34.46,34.88,34.34,34.7,1700446.0,0.28,1.0,34.46,34.88,34.34,34.7,1700446.0
2015-02-13,34.65,34.94,34.38,34.92,1872766.0,0.0,1.0,34.372641509434,34.660320182962,34.104802744425,34.640480274443,1872766.0
2015-02-12,34.7,35.2,34.38,34.565,2867481.0,0.0,1.0,34.422241280732,34.918238993711,34.104802744425,34.288321898228,2867481.0
2015-02-11,34.43,34.63,34.31,34.46,2018802.0,0.0,1.0,34.154402515723,34.352801600915,34.035363064608,34.184162378502,2018802.0
2015-02-10,34.04,34.4,33.69,34.38,1194928.0,0.0,1.0,33.7675242996,34.124642652945,33.420325900515,34.104802744425,1194928.0
2015-02-09,33.79,34.045,33.58,33.73,1259823.0,0.0,1.0,33.51952544311,33.77248427673,33.311206403659,33.460005717553,1259823.0
2015-02-06,34.14,34.45,33.95,33.975,1332349.0,0.0,1.0,33.866723842196,34.174242424242,33.678244711264,33.703044596913,1332349.0
2015-02-05,34.06,34.22,33.905,34.15,1301792.0,0.0,1.0,33.787364208119,33.946083476272,33.633604917095,33.876643796455,1301792.0
2015-02-04,34.04,34.1,33.7,33.89,1215072.0,0.0,1.0,33.7675242996,33.827044025157,33.430245854774,33.618724985706,1215072.0
2015-02-03,32.94,34.13,32.94,34.02,2216438.0,0.0,1.0,32.676329331046,33.856803887936,32.676329331046,33.747684391081,2216438.0
2015-02-02,33.17,33.26,32.53,33.13,2412272.0,0.0,1.0,32.904488279017,32.993767867353,32.269611206404,32.864808461978,2412272.0
2015-01-30,33.65,33.96,33.08,33.09,3415402.0,0.0,1.0,33.380646083476,33.688164665523,32.81520869068,32.82512864494,3415402.0
2015-01-29,33.77,34.15,33.5,33.85,1510105.0,0.0,1.0,33.499685534591,33.876643796455,33.231846769583,33.579045168668,1510105.0
2015-01-28,33.92,34.27,33.43,33.73,1710659.0,0.0,1.0,33.648484848485,33.99568324757,33.162407089766,33.460005717553,1710659.0
2015-01-26,33.22,34.06,33.04,33.92,2869692.0,0.0,1.0,32.954088050314,33.787364208119,32.775528873642,33.648484848485,2869692.0
2015-01-23,33.84,34.19,33.13,33.76,7064894.0,0.0,1.0,33.569125214408,33.916323613493,32.864808461978,33.489765580332,7064894.0
2015-01-22,32.7,33.11,32.2,33.01,4176367.0,0.0,1.0,32.438250428816,32.844968553459,31.942252715838,32.745769010863,4176367.0
2015-01-21,32.37,32.88,32.23,32.87,1790580.0,0.0,1.0,32.11089193825,32.616809605489,31.972012578616,32.606889651229,1790580.0
2015-01-20,32.15,32.38,31.93,32.31,2108867.0,0.0,1.0,31.89265294454,32.12081189251,31.674413950829,32.051372212693,2108867.0
2015-01-15,32.38,32.7,31.62,31.69,2479858.0,0.0,1.0,32.12081189251,32.438250428816,31.366895368782,31.436335048599,2479858.0
2015-01-14,32.93,33.03,31.96,32.25,4837094.0,0.0,1.0,32.666409376787,32.765608919383,31.704173813608,31.991852487136,4837094.0
2015-01-12,32.91,33.08,32.46,32.76,2871981.0,0.0,1.0,32.646569468268,32.81520869068,32.200171526587,32.497770154374,2871981.0
2015-01-08,31.81,32.605,31.755,32.48,2798841.0,0.0,1.0,31.555374499714,32.34401086335,31.500814751286,32.220011435106,2798841.0
2015-01-07,31.38,31.935,31.02,31.74,2464534.0,0.0,1.0,31.128816466552,31.679373927959,30.771698113208,31.485934819897,2464534.0
2015-01-06,31.2,31.255,30.72,31.02,3141133.0,0.0,1.0,30.95025728988,31.004817038308,30.47409948542,30.771698113208,3141133.0
2015-01-05,31.76,31.8,31.1,31.155,2618447.0,0.0,1.0,31.505774728416,31.545454545455,30.851057747284,30.905617495712,2618447.0
2015-01-02,31.98,32.14,31.23,31.64,1585150.0,0.0,1.0,31.724013722127,31.88273299028,30.980017152659,31.386735277301,1585150.0
2014-12-31,31.44,32.1,31.18,31.87,3270251.0,0.0,1.0,31.18833619211,31.843053173242,30.930417381361,31.614894225272,3270251.0
2014-12-30,31.32,31.54,31.2,31.255,2019603.0,0.0,1.0,31.069296740995,31.287535734706,30.95025728988,31.004817038308,2019603.0
2014-12-29,31.63,31.78,31.4,31.46,1739408.0,0.0,1.0,31.376815323042,31.525614636935,31.148656375071,31.208176100629,1739408.0
2014-12-26,32.0,32.16,31.5,31.645,1649435.0,0.0,1.0,31.743853630646,31.902572898799,31.247855917667,31.391695254431,1649435.0
2014-12-24,31.78,32.1,31.61,31.97,981854.0,0.0,1.0,31.525614636935,31.843053173242,31.356975414523,31.714093767867,981854.0
2014-12-23,31.94,32.0,31.6146,31.66,2345590.0,0.0,1.0,31.684333905089,31.743853630646,31.361538593482,31.40657518582,2345590.0
2014-12-22,31.18,31.73,31.14,31.72,2006648.0,0.0,1.0,30.930417381361,31.476014865638,30.890737564322,31.466094911378,2006648.0
2014-12-19,30.77,31.24,30.59,31.12,10664355.0,0.0,1.0,30.523699256718,30.989937106918,30.345140080046,30.870897655803,10664355.0
2014-12-18,31.12,31.28,30.83,31.2,2443289.0,0.0,1.0,30.870897655803,31.029616923957,30.583218982276,30.95025728988,2443289.0
2014-12-17,30.59,30.87,30.2,30.79,2493099.0,0.0,1.0,30.345140080046,30.622898799314,29.958261863922,30.543539165237,2493099.0
2014-12-16,30.61,31.19,30.26,30.48,2724695.0,0.0,1.0,30.364979988565,30.94033733562,30.01778158948,30.23602058319,2724695.0
2014-12-15,30.8,31.18,30.485,30.64,3198429.0,0.0,1.0,30.553459119497,30.930417381361,30.24098056032,30.394739851344,3198429.0
