Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-10,39.43,39.69,38.7701,39.05,7894673.0,0.0,1.0,39.43,39.69,38.7701,39.05,7894673.0
2015-08-07,39.04,39.23,38.6,39.13,8270434.0,0.0,1.0,39.04,39.23,38.6,39.13,8270434.0
2015-08-06,39.63,39.74,38.55,38.85,7204137.0,0.0,1.0,39.63,39.74,38.55,38.85,7204137.0
2015-08-05,39.7,39.88,39.17,39.27,9349565.0,0.0,1.0,39.7,39.88,39.17,39.27,9349565.0
2015-08-04,39.91,39.91,38.43,38.95,10832333.0,0.0,1.0,39.91,39.91,38.43,38.95,10832333.0
2015-08-03,39.25,39.88,38.9,39.39,15063371.0,0.0,1.0,39.25,39.88,38.9,39.39,15063371.0
2015-07-31,39.14,39.2,38.2199,38.7,12254993.0,0.0,1.0,39.14,39.2,38.2199,38.7,12254993.0
2015-07-30,38.04,39.01,37.715,38.45,13823888.0,0.0,1.0,38.04,39.01,37.715,38.45,13823888.0
2015-07-29,38.03,38.1,37.62,37.95,11675209.0,0.0,1.0,38.03,38.1,37.62,37.95,11675209.0
2015-07-28,37.19,38.0,36.8296,37.6,18810764.0,0.0,1.0,37.19,38.0,36.8296,37.6,18810764.0
2015-07-27,36.78,37.38,36.22,36.38,15455361.0,0.0,1.0,36.78,37.38,36.22,36.38,15455361.0
2015-07-24,37.71,38.0,36.91,37.02,13996547.0,0.0,1.0,37.71,38.0,36.91,37.02,13996547.0
2015-07-23,38.74,38.75,36.93,37.01,19091245.0,0.0,1.0,38.74,38.75,36.93,37.01,19091245.0
2015-07-22,39.35,39.7178,38.1,38.39,25296362.0,0.0,1.0,39.35,39.7178,38.1,38.39,25296362.0
2015-07-21,41.08,41.11,39.12,39.35,32136725.0,0.0,1.0,41.08,41.11,39.12,39.35,32136725.0
2015-07-20,41.46,42.55,39.8,40.479,52092040.0,0.0,1.0,41.46,42.55,39.8,40.479,52092040.0
