Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,57.52,58.61,56.55,57.52,3636288.0,0.0,1.0,57.52,58.61,56.55,57.52,3636288.0
2015-07-31,60.61,60.79,57.64,57.95,4367021.0,0.0,1.0,60.61,60.79,57.64,57.95,4367021.0
2015-07-30,60.65,62.348,57.1,60.485,10327789.0,0.0,1.0,60.65,62.348,57.1,60.485,10327789.0
2015-07-29,70.33,70.85,68.94,70.47,1875111.0,0.0,1.0,70.33,70.85,68.94,70.47,1875111.0
2015-07-28,70.5,71.084,68.5,70.75,1358697.0,0.0,1.0,70.5,71.084,68.5,70.75,1358697.0
2015-07-27,71.45,71.45,69.01,69.94,1926408.0,0.0,1.0,71.45,71.45,69.01,69.94,1926408.0
2015-07-24,76.51,77.1699,72.2,72.28,1949062.0,0.0,1.0,76.51,77.1699,72.2,72.28,1949062.0
2015-07-23,74.71,77.22,74.44,75.24,1740458.0,0.0,1.0,74.71,77.22,74.44,75.24,1740458.0
2015-07-22,72.55,74.88,71.01,74.17,3337337.0,0.0,1.0,72.55,74.88,71.01,74.17,3337337.0
2015-07-21,76.22,77.95,75.41,77.45,1632526.0,0.0,1.0,76.22,77.95,75.41,77.45,1632526.0
2015-07-20,78.5,79.58,76.5,76.7,2115672.0,0.0,1.0,78.5,79.58,76.5,76.7,2115672.0
2015-07-17,80.14,80.79,78.1,78.86,1313202.0,0.0,1.0,80.14,80.79,78.1,78.86,1313202.0
2015-07-16,78.07,80.52,80.52,80.24,1497807.0,0.0,1.0,78.07,80.52,80.52,80.24,1497807.0
2015-07-15,78.6,79.1,77.427,77.88,1047732.0,0.0,1.0,78.6,79.1,77.427,77.88,1047732.0
2015-07-14,77.14,78.52,76.93,77.96,1032487.0,0.0,1.0,77.14,78.52,76.93,77.96,1032487.0
2015-07-10,75.22,76.5,73.71,76.16,2327463.0,0.0,1.0,75.22,76.5,73.71,76.16,2327463.0
2015-07-09,76.3,77.27,74.33,74.63,1919347.0,0.0,1.0,76.3,77.27,74.33,74.63,1919347.0
2015-07-08,77.43,77.45,74.4808,74.68,2976402.0,0.0,1.0,77.43,77.45,74.4808,74.68,2976402.0
2015-07-07,80.29,80.43,74.36,79.95,3039711.0,0.0,1.0,80.29,80.43,74.36,79.95,3039711.0
2015-07-06,80.33,81.935,78.59,79.99,2092244.0,0.0,1.0,80.33,81.935,78.59,79.99,2092244.0
2015-07-02,80.72,81.55,80.2,81.36,1118273.0,0.0,1.0,80.72,81.55,80.2,81.36,1118273.0
2015-07-01,81.25,82.25,80.01,80.36,1629723.0,0.0,1.0,81.25,82.25,80.01,80.36,1629723.0
2015-06-30,80.0,81.0,78.5768,80.27,1919331.0,0.0,1.0,80.0,81.0,78.5768,80.27,1919331.0
2015-06-29,78.75,81.69,77.83,79.06,2876571.0,0.0,1.0,78.75,81.69,77.83,79.06,2876571.0
2015-06-26,84.85,84.9999,79.66,80.31,10842421.0,0.0,1.0,84.85,84.9999,79.66,80.31,10842421.0
2015-06-25,84.75,85.86,84.75,84.98,1372571.0,0.0,1.0,84.75,85.86,84.75,84.98,1372571.0
2015-06-24,85.13,85.88,84.56,84.59,1435299.0,0.0,1.0,85.13,85.88,84.56,84.59,1435299.0
2015-06-23,87.9,87.96,84.85,85.31,2427303.0,0.0,1.0,87.9,87.96,84.85,85.31,2427303.0
2015-06-22,86.27,88.35,85.86,87.81,2660788.0,0.0,1.0,86.27,88.35,85.86,87.81,2660788.0
2015-06-19,84.89,86.28,84.33,85.25,2566909.0,0.0,1.0,84.89,86.28,84.33,85.25,2566909.0
2015-06-18,84.63,85.46,83.623,84.65,2007146.0,0.0,1.0,84.63,85.46,83.623,84.65,2007146.0
2015-06-17,84.81,85.07,83.09,84.56,1882240.0,0.0,1.0,84.81,85.07,83.09,84.56,1882240.0
2015-06-16,82.22,84.99,82.11,84.75,2465114.0,0.0,1.0,82.22,84.99,82.11,84.75,2465114.0
2015-06-15,82.51,82.99,82.05,82.18,2474736.0,0.0,1.0,82.51,82.99,82.05,82.18,2474736.0
2015-06-12,81.99,83.7,81.75,83.51,2641046.0,0.0,1.0,81.99,83.7,81.75,83.51,2641046.0
2015-06-11,82.49,83.0,81.651,82.0,28866259.0,0.0,1.0,82.49,83.0,81.651,82.0,28866259.0
2015-06-10,81.375,82.74,80.29,82.5,6108678.0,0.0,1.0,81.375,82.74,80.29,82.5,6108678.0
2015-06-09,80.51,81.0,77.6,80.05,2807660.0,0.0,1.0,80.51,81.0,77.6,80.05,2807660.0
