Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,15.21,15.22,14.12,14.19,706306.0,0.0,1.0,15.21,15.22,14.12,14.19,706306.0
2015-07-31,15.28,15.52,15.015,15.13,353719.0,0.0,1.0,15.28,15.52,15.015,15.13,353719.0
2015-07-30,15.3,15.64,15.14,15.22,590331.0,0.0,1.0,15.3,15.64,15.14,15.22,590331.0
2015-07-29,15.38,15.54,15.0,15.39,329369.0,0.0,1.0,15.38,15.54,15.0,15.39,329369.0
2015-07-28,15.43,15.5,15.01,15.36,293051.0,0.0,1.0,15.43,15.5,15.01,15.36,293051.0
2015-07-27,15.76,15.8545,15.345,15.4,262075.0,0.0,1.0,15.76,15.8545,15.345,15.4,262075.0
2015-07-24,16.57,16.63,15.81,15.96,371918.0,0.0,1.0,16.57,16.63,15.81,15.96,371918.0
2015-07-23,16.76,16.85,16.56,16.6,271621.0,0.0,1.0,16.76,16.85,16.56,16.6,271621.0
2015-07-22,16.65,16.95,16.65,16.74,242848.0,0.0,1.0,16.65,16.95,16.65,16.74,242848.0
2015-07-21,16.6,16.875,16.53,16.79,326522.0,0.0,1.0,16.6,16.875,16.53,16.79,326522.0
2015-07-20,17.21,17.27,16.575,16.61,450160.0,0.0,1.0,17.21,17.27,16.575,16.61,450160.0
2015-07-17,17.15,17.25,17.01,17.14,276025.0,0.0,1.0,17.15,17.25,17.01,17.14,276025.0
2015-07-16,17.14,17.3,17.3,17.07,274027.0,0.0,1.0,17.14,17.3,17.3,17.07,274027.0
2015-07-15,17.16,17.21,16.89,16.9,242587.0,0.0,1.0,17.16,17.21,16.89,16.9,242587.0
2015-07-14,16.86,17.27,16.86,17.04,410328.0,0.0,1.0,16.86,17.27,16.86,17.04,410328.0
2015-07-10,17.48,17.48,17.05,17.09,282160.0,0.0,1.0,17.48,17.48,17.05,17.09,282160.0
2015-07-09,17.03,17.41,17.0,17.24,451787.0,0.0,1.0,17.03,17.41,17.0,17.24,451787.0
2015-07-08,17.01,17.17,16.79,16.86,178707.0,0.0,1.0,17.01,17.17,16.79,16.86,178707.0
2015-07-07,17.09,17.27,16.82,17.18,343587.0,0.0,1.0,17.09,17.27,16.82,17.18,343587.0
2015-07-06,17.25,17.43,17.05,17.3,289362.0,0.0,1.0,17.25,17.43,17.05,17.3,289362.0
2015-07-02,17.2,17.45,16.96,17.33,420967.0,0.0,1.0,17.2,17.45,16.96,17.33,420967.0
2015-07-01,17.98,18.03,17.25,17.33,721411.0,0.0,1.0,17.98,18.03,17.25,17.33,721411.0
2015-06-30,17.74,17.88,17.7,17.83,541267.0,0.0,1.0,17.74,17.88,17.7,17.83,541267.0
2015-06-29,17.86,18.08,17.57,17.58,451389.0,0.0,1.0,17.86,18.08,17.57,17.58,451389.0
2015-06-26,18.52,18.71,17.95,18.02,932571.0,0.0,1.0,18.52,18.71,17.95,18.02,932571.0
2015-06-25,18.63,18.75,18.51,18.57,217699.0,0.0,1.0,18.63,18.75,18.51,18.57,217699.0
2015-06-24,18.74,18.8,18.5007,18.64,386716.0,0.0,1.0,18.74,18.8,18.5007,18.64,386716.0
2015-06-23,18.54,18.88,18.54,18.79,265533.0,0.0,1.0,18.54,18.88,18.54,18.79,265533.0
2015-06-22,18.81,18.87,18.52,18.62,362967.0,0.0,1.0,18.81,18.87,18.52,18.62,362967.0
2015-06-19,18.88,18.955,18.53,18.64,617918.0,0.0,1.0,18.88,18.955,18.53,18.64,617918.0
2015-06-18,18.96,19.04,18.82,18.85,288683.0,0.0,1.0,18.96,19.04,18.82,18.85,288683.0
2015-06-17,18.75,18.97,18.73,18.93,541741.0,0.0,1.0,18.75,18.97,18.73,18.93,541741.0
2015-06-16,18.92,19.07,18.68,18.725,365075.0,0.0,1.0,18.92,19.07,18.68,18.725,365075.0
2015-06-15,18.66,19.19,18.514,18.96,394672.0,0.0,1.0,18.66,19.19,18.514,18.96,394672.0
2015-06-12,18.77,19.0,18.501,18.76,330012.0,0.0,1.0,18.77,19.0,18.501,18.76,330012.0
2015-06-11,19.14,19.33,18.82,18.88,226238.0,0.0,1.0,19.14,19.33,18.82,18.88,226238.0
2015-06-10,19.0,19.4,18.95,19.07,464660.0,0.0,1.0,19.0,19.4,18.95,19.07,464660.0
2015-06-09,19.82,19.855,18.94,18.96,662417.0,0.0,1.0,19.82,19.855,18.94,18.96,662417.0
2015-06-08,20.08,20.16,19.69,19.79,281651.0,0.0,1.0,20.08,20.16,19.69,19.79,281651.0
2015-06-05,20.03,20.23,20.0,20.08,437938.0,0.0,1.0,20.03,20.23,20.0,20.08,437938.0
2015-06-04,20.6,20.68,19.95,20.0,395529.0,0.0,1.0,20.6,20.68,19.95,20.0,395529.0
2015-06-03,20.68,20.99,20.514,20.68,500439.0,0.0,1.0,20.68,20.99,20.514,20.68,500439.0
2015-06-02,20.13,20.71,20.06,20.61,405121.0,0.0,1.0,20.13,20.71,20.06,20.61,405121.0
2015-06-01,20.27,20.4,20.025,20.21,431368.0,0.0,1.0,20.27,20.4,20.025,20.21,431368.0
2015-05-29,20.54,20.71,20.14,20.16,353072.0,0.0,1.0,20.54,20.71,20.14,20.16,353072.0
2015-05-28,20.79,21.05,20.53,20.58,468586.0,0.0,1.0,20.79,21.05,20.53,20.58,468586.0
2015-05-27,20.63,20.66,20.29,20.46,223902.0,0.0,1.0,20.63,20.66,20.29,20.46,223902.0
2015-05-26,20.82,20.82,20.35,20.61,234850.0,0.0,1.0,20.82,20.82,20.35,20.61,234850.0
2015-05-22,20.89,20.99,20.75,20.84,209087.0,0.0,1.0,20.89,20.99,20.75,20.84,209087.0
2015-05-21,20.97,21.0,20.75,20.9,195850.0,0.0,1.0,20.97,21.0,20.75,20.9,195850.0
2015-05-20,21.33,21.33,20.76,20.9,246175.0,0.0,1.0,21.33,21.33,20.76,20.9,246175.0
2015-05-19,21.44,21.5,20.96,21.18,530618.0,0.0,1.0,21.44,21.5,20.96,21.18,530618.0
2015-05-18,20.77,21.56,20.49,21.55,828788.0,0.0,1.0,20.77,21.56,20.49,21.55,828788.0
2015-05-15,20.97,21.036,20.77,20.77,382188.0,0.0,1.0,20.97,21.036,20.77,20.77,382188.0
2015-05-14,21.03,21.07,20.73,20.91,320044.0,0.0,1.0,21.03,21.07,20.73,20.91,320044.0
2015-05-13,20.41,21.0,20.26,20.88,467661.0,0.0,1.0,20.41,21.0,20.26,20.88,467661.0
2015-05-12,20.26,20.48,19.87,20.3,313407.0,0.0,1.0,20.26,20.48,19.87,20.3,313407.0
2015-05-11,20.05,20.47,19.93,20.32,579368.0,0.0,1.0,20.05,20.47,19.93,20.32,579368.0
2015-05-08,20.0,20.19,19.61,20.05,747084.0,0.0,1.0,20.0,20.19,19.61,20.05,747084.0
2015-05-07,19.55,20.085,19.5,19.71,637416.0,0.0,1.0,19.55,20.085,19.5,19.71,637416.0
2015-05-06,19.98,20.0,18.755,19.63,1394640.0,0.0,1.0,19.98,20.0,18.755,19.63,1394640.0
2015-05-05,18.01,21.68,17.73,20.09,4145430.0,0.0,1.0,18.01,21.68,17.73,20.09,4145430.0
2015-05-04,17.66,18.24,17.17,17.21,1140480.0,0.0,1.0,17.66,18.24,17.17,17.21,1140480.0
2015-05-01,18.19,18.6099,17.46,17.68,771647.0,0.0,1.0,18.19,18.6099,17.46,17.68,771647.0
2015-04-30,18.95,19.07,18.35,18.38,421805.0,0.0,1.0,18.95,19.07,18.35,18.38,421805.0
2015-04-29,19.27,19.4299,18.82,19.14,381718.0,0.0,1.0,19.27,19.4299,18.82,19.14,381718.0
2015-04-28,18.81,19.37,18.63,19.34,383669.0,0.0,1.0,18.81,19.37,18.63,19.34,383669.0
2015-04-27,19.1,19.24,18.5,18.83,402495.0,0.0,1.0,19.1,19.24,18.5,18.83,402495.0
2015-04-24,19.06,19.36,18.94,19.03,434335.0,0.0,1.0,19.06,19.36,18.94,19.03,434335.0
2015-04-23,19.0,19.2,18.88,19.015,334962.0,0.0,1.0,19.0,19.2,18.88,19.015,334962.0
2015-04-22,18.8,19.26,18.8,19.01,476944.0,0.0,1.0,18.8,19.26,18.8,19.01,476944.0
2015-04-21,19.63,19.648,18.56,18.77,431338.0,0.0,1.0,19.63,19.648,18.56,18.77,431338.0
2015-04-20,19.13,19.81,18.98,19.49,703536.0,0.0,1.0,19.13,19.81,18.98,19.49,703536.0
2015-04-17,18.68,19.08,18.65,18.97,599935.0,0.0,1.0,18.68,19.08,18.65,18.97,599935.0
2015-04-16,18.81,19.19,18.74,18.9,467197.0,0.0,1.0,18.81,19.19,18.74,18.9,467197.0
2015-04-15,18.73,19.0,18.56,18.81,564981.0,0.0,1.0,18.73,19.0,18.56,18.81,564981.0
2015-04-14,18.14,18.73,17.81,18.69,611948.0,0.0,1.0,18.14,18.73,17.81,18.69,611948.0
2015-04-13,18.15,18.63,18.15,18.21,330010.0,0.0,1.0,18.15,18.63,18.15,18.21,330010.0
2015-04-10,17.67,18.415,17.67,18.13,509470.0,0.0,1.0,17.67,18.415,17.67,18.13,509470.0
2015-04-09,17.43,17.87,17.41,17.65,473221.0,0.0,1.0,17.43,17.87,17.41,17.65,473221.0
2015-04-08,17.51,17.71,17.34,17.42,477048.0,0.0,1.0,17.51,17.71,17.34,17.42,477048.0
2015-04-07,17.46,17.91,17.41,17.79,546033.0,0.0,1.0,17.46,17.91,17.41,17.79,546033.0
2015-04-06,17.49,17.83,17.45,17.45,287974.0,0.0,1.0,17.49,17.83,17.45,17.45,287974.0
2015-04-02,17.63,17.8,17.31,17.59,302276.0,0.0,1.0,17.63,17.8,17.31,17.59,302276.0
2015-04-01,17.92,17.92,17.25,17.61,592261.0,0.0,1.0,17.92,17.92,17.25,17.61,592261.0
2015-03-31,17.66,18.22,17.66,18.01,270403.0,0.0,1.0,17.66,18.22,17.66,18.01,270403.0
2015-03-30,18.15,18.3599,17.755,17.83,257882.0,0.0,1.0,18.15,18.3599,17.755,17.83,257882.0
2015-03-27,17.89,18.1,17.85,18.04,247724.0,0.0,1.0,17.89,18.1,17.85,18.04,247724.0
2015-03-26,18.02,18.32,17.81,17.88,311898.0,0.0,1.0,18.02,18.32,17.81,17.88,311898.0
2015-03-25,18.69,18.71,18.02,18.05,482027.0,0.0,1.0,18.69,18.71,18.02,18.05,482027.0
2015-03-24,18.34,18.84,18.31,18.69,457898.0,0.0,1.0,18.34,18.84,18.31,18.69,457898.0
2015-03-23,17.9,18.35,17.75,18.31,468023.0,0.0,1.0,17.9,18.35,17.75,18.31,468023.0
2015-03-20,17.37,18.27,17.37,17.93,2694955.0,0.0,1.0,17.37,18.27,17.37,17.93,2694955.0
2015-03-19,17.0,17.42,16.96,17.27,324994.0,0.0,1.0,17.0,17.42,16.96,17.27,324994.0
2015-03-18,17.04,17.28,16.85,17.1,600587.0,0.0,1.0,17.04,17.28,16.85,17.1,600587.0
2015-03-17,17.1,17.4,16.93,17.04,565406.0,0.0,1.0,17.1,17.4,16.93,17.04,565406.0
2015-03-16,16.72,17.325,16.58,17.19,492845.0,0.0,1.0,16.72,17.325,16.58,17.19,492845.0
2015-03-13,16.96,17.0,16.48,16.58,812846.0,0.0,1.0,16.96,17.0,16.48,16.58,812846.0
2015-03-12,16.9,17.1218,16.69,16.95,585995.0,0.0,1.0,16.9,17.1218,16.69,16.95,585995.0
2015-03-11,17.12,17.318,16.64,16.77,620941.0,0.0,1.0,17.12,17.318,16.64,16.77,620941.0
2015-03-10,18.01,18.11,17.03,17.12,741379.0,0.0,1.0,18.01,18.11,17.03,17.12,741379.0
2015-03-09,18.25,18.28,17.65,18.25,1250220.0,0.0,1.0,18.25,18.28,17.65,18.25,1250220.0
2015-03-06,18.18,18.47,17.97,18.26,549050.0,0.0,1.0,18.18,18.47,17.97,18.26,549050.0
2015-03-05,17.76,18.43,17.76,18.2,557798.0,0.0,1.0,17.76,18.43,17.76,18.2,557798.0
2015-03-04,18.0,18.215,17.91,18.0,368521.0,0.0,1.0,18.0,18.215,17.91,18.0,368521.0
2015-03-03,18.3,18.39,18.06,18.12,376665.0,0.0,1.0,18.3,18.39,18.06,18.12,376665.0
2015-03-02,17.41,18.36,17.27,18.31,760109.0,0.0,1.0,17.41,18.36,17.27,18.31,760109.0
2015-02-27,17.47,17.719,17.254,17.43,688633.0,0.0,1.0,17.47,17.719,17.254,17.43,688633.0
2015-02-26,17.66,17.78,17.23,17.44,608306.0,0.0,1.0,17.66,17.78,17.23,17.44,608306.0
2015-02-25,17.56,17.8699,17.49,17.66,777866.0,0.0,1.0,17.56,17.8699,17.49,17.66,777866.0
2015-02-24,17.5,17.69,17.16,17.61,600142.0,0.0,1.0,17.5,17.69,17.16,17.61,600142.0
2015-02-23,17.27,17.3399,17.1,17.31,499644.0,0.0,1.0,17.27,17.3399,17.1,17.31,499644.0
2015-02-20,17.22,17.4,17.11,17.2,1180225.0,0.0,1.0,17.22,17.4,17.11,17.2,1180225.0
2015-02-19,17.3,17.465,17.16,17.29,790678.0,0.0,1.0,17.3,17.465,17.16,17.29,790678.0
2015-02-18,17.0,17.53,16.69,17.31,1599007.0,0.0,1.0,17.0,17.53,16.69,17.31,1599007.0
2015-02-17,16.37,17.19,16.36,17.0,1808058.0,0.0,1.0,16.37,17.19,16.36,17.0,1808058.0
2015-02-13,16.26,16.62,15.8,16.41,964318.0,0.0,1.0,16.26,16.62,15.8,16.41,964318.0
2015-02-12,15.75,16.45,15.54,16.28,1014213.0,0.0,1.0,15.75,16.45,15.54,16.28,1014213.0
2015-02-11,15.11,15.88,14.88,15.75,1651230.0,0.0,1.0,15.11,15.88,14.88,15.75,1651230.0
2015-02-10,14.12,15.9,13.545,15.4,6206049.0,0.0,1.0,14.12,15.9,13.545,15.4,6206049.0
2015-02-09,15.72,15.84,15.36,15.47,1146924.0,0.0,1.0,15.72,15.84,15.36,15.47,1146924.0
2015-02-06,16.23,16.278,15.62,15.74,811141.0,0.0,1.0,16.23,16.278,15.62,15.74,811141.0
2015-02-05,15.46,16.36,15.46,16.22,846579.0,0.0,1.0,15.46,16.36,15.46,16.22,846579.0
2015-02-04,15.2,15.6,15.055,15.45,494562.0,0.0,1.0,15.2,15.6,15.055,15.45,494562.0
2015-02-03,14.87,15.3,14.74,15.28,605562.0,0.0,1.0,14.87,15.3,14.74,15.28,605562.0
2015-02-02,15.52,15.62,14.54,14.76,1525251.0,0.0,1.0,15.52,15.62,14.54,14.76,1525251.0
2015-01-30,15.36,15.615,15.11,15.53,835610.0,0.0,1.0,15.36,15.615,15.11,15.53,835610.0
2015-01-29,15.09,15.53,14.83,15.43,689351.0,0.0,1.0,15.09,15.53,14.83,15.43,689351.0
2015-01-28,15.34,15.56,14.935,15.05,685237.0,0.0,1.0,15.34,15.56,14.935,15.05,685237.0
2015-01-26,15.31,15.46,15.04,15.31,800144.0,0.0,1.0,15.31,15.46,15.04,15.31,800144.0
2015-01-23,15.56,15.77,15.11,15.21,678595.0,0.0,1.0,15.56,15.77,15.11,15.21,678595.0
2015-01-22,15.03,15.64,14.9,15.6,976032.0,0.0,1.0,15.03,15.64,14.9,15.6,976032.0
2015-01-21,14.42,14.91,14.26,14.89,2083988.0,0.0,1.0,14.42,14.91,14.26,14.89,2083988.0
2015-01-20,14.57,14.61,14.255,14.48,803399.0,0.0,1.0,14.57,14.61,14.255,14.48,803399.0
2015-01-15,14.59,14.59,14.02,14.31,617863.0,0.0,1.0,14.59,14.59,14.02,14.31,617863.0
2015-01-14,14.75,14.75,14.2,14.52,666163.0,0.0,1.0,14.75,14.75,14.2,14.52,666163.0
2015-01-12,14.06,14.21,13.72,14.15,312861.0,0.0,1.0,14.06,14.21,13.72,14.15,312861.0
2015-01-08,13.92,14.3,13.85,14.17,718376.0,0.0,1.0,13.92,14.3,13.85,14.17,718376.0
2015-01-06,14.34,14.42,13.61,13.69,1275816.0,0.0,1.0,14.34,14.42,13.61,13.69,1275816.0
2015-01-05,14.79,14.945,14.14,14.26,435633.0,0.0,1.0,14.79,14.945,14.14,14.26,435633.0
2015-01-02,14.73,14.98,14.44,14.82,374856.0,0.0,1.0,14.73,14.98,14.44,14.82,374856.0
2014-12-31,14.73,14.9,14.59,14.62,429967.0,0.0,1.0,14.73,14.9,14.59,14.62,429967.0
2014-12-30,14.74,14.78,14.4401,14.67,381602.0,0.0,1.0,14.74,14.78,14.4401,14.67,381602.0
2014-12-26,14.82,15.08,14.82,14.88,326642.0,0.0,1.0,14.82,15.08,14.82,14.88,326642.0
2014-12-24,14.7,15.0,14.7,14.83,601039.0,0.0,1.0,14.7,15.0,14.7,14.83,601039.0
2014-12-23,15.02,15.1,14.62,14.64,640458.0,0.0,1.0,15.02,15.1,14.62,14.64,640458.0
2014-12-22,15.07,15.27,14.9,14.95,834321.0,0.0,1.0,15.07,15.27,14.9,14.95,834321.0
2014-12-19,14.77,15.19,14.44,14.99,4208669.0,0.0,1.0,14.77,15.19,14.44,14.99,4208669.0
2014-12-18,14.41,14.89,14.31,14.8,760545.0,0.0,1.0,14.41,14.89,14.31,14.8,760545.0
2014-12-17,13.73,14.24,13.58,14.22,1006050.0,0.0,1.0,13.73,14.24,13.58,14.22,1006050.0
2014-12-16,13.88,14.09,13.49,13.7,616981.0,0.0,1.0,13.88,14.09,13.49,13.7,616981.0
