Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-29,59.78,60.88,59.64,60.77,13028273.0,0.0,1.0,59.78,60.88,59.64,60.77,13028273.0
2016-01-28,58.29,59.42,58.0,59.285,11754057.0,0.0,1.0,58.29,59.42,58.0,59.285,11754057.0
2016-01-27,58.87,58.96,57.255,57.63,11964448.0,0.0,1.0,58.87,58.96,57.255,57.63,11964448.0
2016-01-26,57.92,58.865,57.8,58.61,8840633.0,0.0,1.0,57.92,58.865,57.8,58.61,8840633.0
2016-01-25,59.36,59.38,57.61,57.71,13285675.0,0.0,1.0,59.36,59.38,57.61,57.71,13285675.0
2016-01-22,57.55,59.4,57.41,59.17,32631863.0,0.0,1.0,57.55,59.4,57.41,59.17,32631863.0
2016-01-21,57.84,59.38,57.67,58.964,18095100.0,0.0,1.0,57.84,59.38,57.67,58.964,18095100.0
2016-01-20,57.57,57.96,54.94,56.92,22694303.0,0.0,1.0,57.57,57.96,54.94,56.92,22694303.0
2016-01-19,58.67,59.39,58.12,58.55,12178874.0,0.0,1.0,58.67,59.39,58.12,58.55,12178874.0
2016-01-15,57.07,58.39,56.75,57.96,13283714.0,0.0,1.0,57.07,58.39,56.75,57.96,13283714.0
2016-01-14,57.51,59.43,56.921,58.98,11302411.0,0.0,1.0,57.51,59.43,56.921,58.98,11302411.0
2016-01-13,59.8,60.0,57.8001,57.87,11125296.0,0.0,1.0,59.8,60.0,57.8001,57.87,11125296.0
2016-01-12,58.39,59.53,58.18,59.46,12174967.0,0.0,1.0,58.39,59.53,58.18,59.46,12174967.0
2016-01-11,57.0,58.12,56.78,57.82,10497588.0,0.0,1.0,57.0,58.12,56.78,57.82,10497588.0
2016-01-08,57.41,57.73,56.53,56.63,10149580.0,0.0,1.0,57.41,57.73,56.53,56.63,10149580.0
2016-01-07,56.88,57.91,56.16,56.69,11140877.0,0.0,1.0,56.88,57.91,56.16,56.69,11140877.0
2016-01-06,57.7,58.53,57.64,58.13,8215275.0,0.0,1.0,57.7,58.53,57.64,58.13,8215275.0
2016-01-05,58.79,58.79,57.98,58.65,9193765.0,0.0,1.0,58.79,58.79,57.98,58.65,9193765.0
2016-01-04,58.77,58.83,57.6,58.16,11462425.0,0.0,1.0,58.77,58.83,57.6,58.16,11462425.0
2015-12-31,60.65,60.81,60.02,60.03,4670952.0,0.0,1.0,60.65,60.81,60.02,60.03,4670952.0
2015-12-30,61.22,61.4,60.75,60.82,3923474.0,0.0,1.0,61.22,61.4,60.75,60.82,3923474.0
2015-12-29,60.46,61.32,60.35,61.13,5390415.0,0.0,1.0,60.46,61.32,60.35,61.13,5390415.0
2015-12-28,60.02,60.33,59.58,60.19,4402177.0,0.0,1.0,60.02,60.33,59.58,60.19,4402177.0
2015-12-24,60.37,60.51,60.17,60.32,2215418.0,0.0,1.0,60.37,60.51,60.17,60.32,2215418.0
2015-12-23,60.26,60.37,59.96,60.34,4429751.0,0.0,1.0,60.26,60.37,59.96,60.34,4429751.0
2015-12-22,59.94,60.07,59.275,59.99,6346514.0,0.0,1.0,59.94,60.07,59.275,59.99,6346514.0
2015-12-21,58.89,59.615,58.66,59.54,7120579.0,0.0,1.0,58.89,59.615,58.66,59.54,7120579.0
2015-12-18,59.2,59.5,58.27,58.62,15808031.0,0.0,1.0,59.2,59.5,58.27,58.62,15808031.0
2015-12-17,60.66,60.83,59.47,59.515,9007421.0,0.0,1.0,60.66,60.83,59.47,59.515,9007421.0
