Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,95.17,95.75,91.63,92.78,5206376.0,0.0,1.0,95.17,95.75,91.63,92.78,5206376.0
2015-07-31,96.83,97.215,95.18,95.67,7024074.0,0.0,1.0,96.83,97.215,95.18,95.67,7024074.0
2015-07-30,95.19,97.05,93.56,96.774,4297405.0,0.0,1.0,95.19,97.05,93.56,96.774,4297405.0
2015-07-29,95.74,96.1,93.65,95.19,3214365.0,0.0,1.0,95.74,96.1,93.65,95.19,3214365.0
2015-07-28,94.82,96.53,93.21,95.68,3601016.0,0.0,1.0,94.82,96.53,93.21,95.68,3601016.0
2015-07-27,96.1,96.3,92.26,93.49,6152970.0,0.0,1.0,96.1,96.3,92.26,93.49,6152970.0
2015-07-24,106.43,106.5,97.44,97.71,10436456.0,0.0,1.0,106.43,106.5,97.44,97.71,10436456.0
2015-07-23,102.49,105.0,100.5,103.12,5487262.0,0.0,1.0,102.49,105.0,100.5,103.12,5487262.0
2015-07-22,97.47,100.13,96.0,99.64,6380533.0,0.0,1.0,97.47,100.13,96.0,99.64,6380533.0
2015-07-21,103.13,104.14,102.07,103.97,2419943.0,0.0,1.0,103.13,104.14,102.07,103.97,2419943.0
2015-07-20,104.19,105.41,102.98,103.14,3125648.0,0.0,1.0,104.19,105.41,102.98,103.14,3125648.0
2015-07-17,102.9,103.32,101.5,102.91,2304482.0,0.0,1.0,102.9,103.32,101.5,102.91,2304482.0
2015-07-16,101.48,102.53,102.53,102.37,2375807.0,0.0,1.0,101.48,102.53,102.53,102.37,2375807.0
2015-07-15,102.26,102.37,100.29,100.9,1921842.0,0.0,1.0,102.26,102.37,100.29,100.9,1921842.0
2015-07-14,101.18,102.4,100.13,102.03,2411132.0,0.0,1.0,101.18,102.4,100.13,102.03,2411132.0
2015-07-10,97.05,101.05,96.51,100.2,5459119.0,0.0,1.0,97.05,101.05,96.51,100.2,5459119.0
2015-07-09,98.16,98.66,93.27,94.51,6744200.0,0.0,1.0,98.16,98.66,93.27,94.51,6744200.0
2015-07-08,97.4,98.48,94.7,95.6,7186996.0,0.0,1.0,97.4,98.48,94.7,95.6,7186996.0
