Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,40.69,41.8,40.66,41.49,5018153.0,0.0,1.0,40.69,41.8,40.66,41.49,5018153.0
2015-07-31,39.55,41.21,39.55,40.66,10411716.0,0.0,1.0,39.55,41.21,39.55,40.66,10411716.0
2015-07-30,37.75,39.69,37.71,38.86,7350035.0,0.0,1.0,37.75,39.69,37.71,38.86,7350035.0
2015-07-29,37.0,37.55,36.61,37.04,4763503.0,0.0,1.0,37.0,37.55,36.61,37.04,4763503.0
2015-07-28,36.55,37.19,36.43,36.92,3790063.0,0.0,1.0,36.55,37.19,36.43,36.92,3790063.0
2015-07-27,37.18,37.2,36.33,36.5,3027657.0,0.0,1.0,37.18,37.2,36.33,36.5,3027657.0
2015-07-24,37.9,38.09,36.975,37.4,2944734.0,0.0,1.0,37.9,38.09,36.975,37.4,2944734.0
2015-07-23,37.72,38.21,37.58,37.93,2385163.0,0.0,1.0,37.72,38.21,37.58,37.93,2385163.0
2015-07-22,37.45,37.77,37.22,37.73,4180788.0,0.0,1.0,37.45,37.77,37.22,37.73,4180788.0
2015-07-21,37.85,38.03,37.56,37.63,1844213.0,0.0,1.0,37.85,38.03,37.56,37.63,1844213.0
2015-07-20,38.1,38.4,37.76,38.08,1507116.0,0.0,1.0,38.1,38.4,37.76,38.08,1507116.0
2015-07-17,38.68,38.76,37.73,38.04,4408774.0,0.0,1.0,38.68,38.76,37.73,38.04,4408774.0
2015-07-16,39.35,39.69,39.69,38.62,5836889.0,0.0,1.0,39.35,39.69,39.69,38.62,5836889.0
2015-07-15,39.5,39.53,38.77,39.05,2116028.0,0.0,1.0,39.5,39.53,38.77,39.05,2116028.0
2015-07-14,39.2,39.6,39.05,39.44,2009124.0,0.0,1.0,39.2,39.6,39.05,39.44,2009124.0
2015-07-10,39.16,39.21,38.8601,39.03,2604989.0,0.0,1.0,39.16,39.21,38.8601,39.03,2604989.0
2015-07-09,39.47,39.7,38.41,38.77,5939338.0,0.0,1.0,39.47,39.7,38.41,38.77,5939338.0
2015-07-08,38.51,39.36,37.91,38.47,5074218.0,0.0,1.0,38.51,39.36,37.91,38.47,5074218.0
2015-07-07,38.49,38.735,37.61,38.68,2132249.0,0.0,1.0,38.49,38.735,37.61,38.68,2132249.0
2015-07-06,38.73,38.81,38.25,38.55,1840654.0,0.0,1.0,38.73,38.81,38.25,38.55,1840654.0
2015-07-02,38.86,39.25,38.61,38.97,1788128.0,0.0,1.0,38.86,39.25,38.61,38.97,1788128.0
2015-07-01,38.95,39.0,38.52,38.63,2065544.0,0.0,1.0,38.95,39.0,38.52,38.63,2065544.0
2015-06-30,39.07,39.33,38.64,38.73,1684545.0,0.0,1.0,39.07,39.33,38.64,38.73,1684545.0
2015-06-29,38.76,39.31,38.6,38.68,2243213.0,0.0,1.0,38.76,39.31,38.6,38.68,2243213.0
2015-06-26,39.35,39.4,38.94,39.03,1628990.0,0.0,1.0,39.35,39.4,38.94,39.03,1628990.0
2015-06-25,39.31,39.716,39.24,39.3,2359399.0,0.0,1.0,39.31,39.716,39.24,39.3,2359399.0
2015-06-24,39.36,39.48,38.85,39.03,3023630.0,0.0,1.0,39.36,39.48,38.85,39.03,3023630.0
2015-06-23,39.18,39.73,39.18,39.5,2112857.0,0.0,1.0,39.18,39.73,39.18,39.5,2112857.0
2015-06-22,39.37,39.77,39.13,39.2,3369308.0,0.0,1.0,39.37,39.77,39.13,39.2,3369308.0
2015-06-19,39.51,39.58,38.98,39.16,2421872.0,0.0,1.0,39.51,39.58,38.98,39.16,2421872.0
2015-06-18,39.79,40.28,39.54,39.57,2769798.0,0.0,1.0,39.79,40.28,39.54,39.57,2769798.0
2015-06-17,39.59,40.34,39.23,39.77,7296914.0,0.0,1.0,39.59,40.34,39.23,39.77,7296914.0
2015-06-16,38.87,39.14,38.71,38.85,1387411.0,0.0,1.0,38.87,39.14,38.71,38.85,1387411.0
2015-06-15,38.59,39.24,38.44,38.96,2539298.0,0.0,1.0,38.59,39.24,38.44,38.96,2539298.0
2015-06-12,39.0,39.25,38.63,39.0,5796492.0,0.0,1.0,39.0,39.25,38.63,39.0,5796492.0
2015-06-11,37.6,38.28,37.58,38.12,6433969.0,0.0,1.0,37.6,38.28,37.58,38.12,6433969.0
2015-06-10,38.84,38.98,38.48,38.66,3154822.0,0.0,1.0,38.84,38.98,38.48,38.66,3154822.0
