Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-10,28.09,29.63,27.82,29.5,42149378.0,0.0,1.0,28.09,29.63,27.82,29.5,42149378.0
2015-08-07,27.8,27.9,26.87,27.04,18224661.0,0.0,1.0,27.8,27.9,26.87,27.04,18224661.0
2015-08-06,28.4,28.43,27.23,27.54,27438819.0,0.0,1.0,28.4,28.43,27.23,27.54,27438819.0
2015-08-05,29.41,29.5,28.43,28.48,21092699.0,0.0,1.0,29.41,29.5,28.43,28.48,21092699.0
2015-08-04,29.11,29.9,28.9,29.34,21287901.0,0.0,1.0,29.11,29.9,28.9,29.34,21287901.0
2015-08-03,30.85,31.09,28.69,29.27,46530137.0,0.0,1.0,30.85,31.09,28.69,29.27,46530137.0
2015-07-31,31.38,31.62,30.85,31.01,17995440.0,0.0,1.0,31.38,31.62,30.85,31.01,17995440.0
2015-07-30,31.1,31.83,31.05,31.47,29311908.0,0.0,1.0,31.1,31.83,31.05,31.47,29311908.0
2015-07-29,32.59,33.24,31.06,31.24,92475756.0,0.0,1.0,32.59,33.24,31.06,31.24,92475756.0
2015-07-28,34.7,36.67,34.14,36.54,42042078.0,0.0,1.0,34.7,36.67,34.14,36.54,42042078.0
2015-07-27,35.11,35.15,33.88,34.7,24521081.0,0.0,1.0,35.11,35.15,33.88,34.7,24521081.0
2015-07-24,36.41,36.41,35.3,35.42,12872080.0,0.0,1.0,36.41,36.41,35.3,35.42,12872080.0
2015-07-23,36.0,36.73,35.945,36.19,10310664.0,0.0,1.0,36.0,36.73,35.945,36.19,10310664.0
2015-07-22,36.23,36.373,35.51,36.09,11724838.0,0.0,1.0,36.23,36.373,35.51,36.09,11724838.0
2015-07-21,35.82,36.75,35.71,36.63,12417667.0,0.0,1.0,35.82,36.75,35.71,36.63,12417667.0
2015-07-20,35.75,35.99,35.205,35.81,9864126.0,0.0,1.0,35.75,35.99,35.205,35.81,9864126.0
2015-07-17,36.46,36.66,35.6,35.67,12741260.0,0.0,1.0,36.46,36.66,35.6,35.67,12741260.0
2015-07-16,35.89,36.45,36.45,36.1,11265539.0,0.0,1.0,35.89,36.45,36.45,36.1,11265539.0
2015-07-15,36.66,37.09,35.55,35.66,18214627.0,0.0,1.0,36.66,37.09,35.55,35.66,18214627.0
2015-07-14,35.78,38.82,35.77,36.72,49940501.0,0.0,1.0,35.78,38.82,35.77,36.72,49940501.0
2015-07-10,34.68,35.12,34.46,34.91,10591326.0,0.0,1.0,34.68,35.12,34.46,34.91,10591326.0
2015-07-09,35.17,35.43,34.31,34.36,13921268.0,0.0,1.0,35.17,35.43,34.31,34.36,13921268.0
2015-07-08,35.41,36.05,34.67,34.76,15434022.0,0.0,1.0,35.41,36.05,34.67,34.76,15434022.0
2015-07-07,35.35,35.72,34.55,35.52,14157666.0,0.0,1.0,35.35,35.72,34.55,35.52,14157666.0
2015-07-06,35.17,35.69,35.0,35.43,11256421.0,0.0,1.0,35.17,35.69,35.0,35.43,11256421.0
2015-07-02,35.4,35.97,35.1,35.72,17589427.0,0.0,1.0,35.4,35.97,35.1,35.72,17589427.0
2015-07-01,36.05,36.11,35.235,35.4,23624828.0,0.0,1.0,36.05,36.11,35.235,35.4,23624828.0
2015-06-30,34.5,36.42,34.44,36.13,23611461.0,0.0,1.0,34.5,36.42,34.44,36.13,23611461.0
2015-06-29,34.47,35.0899,34.15,34.21,25139697.0,0.0,1.0,34.47,35.0899,34.15,34.21,25139697.0
2015-06-26,34.97,35.3,34.67,35.2401,13903201.0,0.0,1.0,34.97,35.3,34.67,35.2401,13903201.0
2015-06-25,35.36,35.36,34.965,35.17,10689889.0,0.0,1.0,35.36,35.36,34.965,35.17,10689889.0
2015-06-24,35.4,35.75,35.1,35.17,12959818.0,0.0,1.0,35.4,35.75,35.1,35.17,12959818.0
2015-06-23,35.78,36.2,34.96,35.37,24814623.0,0.0,1.0,35.78,36.2,34.96,35.37,24814623.0
2015-06-22,35.95,36.0,35.34,35.55,21293519.0,0.0,1.0,35.95,36.0,35.34,35.55,21293519.0
2015-06-19,34.97,36.28,34.85,35.86,32923196.0,0.0,1.0,34.97,36.28,34.85,35.86,32923196.0
2015-06-18,34.63,35.04,34.45,34.66,19385844.0,0.0,1.0,34.63,35.04,34.45,34.66,19385844.0
2015-06-17,34.99,35.12,34.17,34.69,27138035.0,0.0,1.0,34.99,35.12,34.17,34.69,27138035.0
2015-06-16,34.23,35.2,33.51,34.82,49591165.0,0.0,1.0,34.23,35.2,33.51,34.82,49591165.0
2015-06-15,35.24,35.26,34.31,34.67,32711507.0,0.0,1.0,35.24,35.26,34.31,34.67,32711507.0
2015-06-12,36.9,37.25,35.55,35.9,60914449.0,0.0,1.0,36.9,37.25,35.55,35.9,60914449.0
2015-06-11,35.92,36.17,35.79,35.84,20546962.0,0.0,1.0,35.92,36.17,35.79,35.84,20546962.0
2015-06-10,36.01,36.17,35.6,35.85,12634817.0,0.0,1.0,36.01,36.17,35.6,35.85,12634817.0
2015-06-09,36.5,36.5,35.565,35.88,14034468.0,0.0,1.0,36.5,36.5,35.565,35.88,14034468.0
