Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-03,26.6,27.7,25.56,25.92,6631003.0,0.0,1.0,26.6,27.7,25.56,25.92,6631003.0
2015-07-31,25.69,27.48,25.69,26.4,7875541.0,0.0,1.0,25.69,27.48,25.69,26.4,7875541.0
2015-07-30,24.91,26.4401,24.81,26.03,7868342.0,0.0,1.0,24.91,26.4401,24.81,26.03,7868342.0
2015-07-29,24.94,25.5,23.66,25.06,34535060.0,0.0,1.0,24.94,25.5,23.66,25.06,34535060.0
2015-07-28,33.06,33.8,32.36,33.51,6984811.0,0.0,1.0,33.06,33.8,32.36,33.51,6984811.0
2015-07-27,33.98,34.32,33.53,33.73,3458675.0,0.0,1.0,33.98,34.32,33.53,33.73,3458675.0
2015-07-24,35.29,35.3,34.0,34.56,2094635.0,0.0,1.0,35.29,35.3,34.0,34.56,2094635.0
2015-07-23,34.44,35.4499,34.34,35.04,2185012.0,0.0,1.0,34.44,35.4499,34.34,35.04,2185012.0
2015-07-22,34.95,35.294,33.89,34.44,2851236.0,0.0,1.0,34.95,35.294,33.89,34.44,2851236.0
2015-07-21,34.55,35.65,34.5,35.57,2818856.0,0.0,1.0,34.55,35.65,34.5,35.57,2818856.0
2015-07-20,33.94,35.35,33.35,34.55,4202018.0,0.0,1.0,33.94,35.35,33.35,34.55,4202018.0
2015-07-17,35.46,35.9,34.67,34.96,3007146.0,0.0,1.0,35.46,35.9,34.67,34.96,3007146.0
2015-07-16,35.25,35.55,35.55,35.11,2179868.0,0.0,1.0,35.25,35.55,35.55,35.11,2179868.0
2015-07-15,35.8,36.08,34.85,35.0,2761624.0,0.0,1.0,35.8,36.08,34.85,35.0,2761624.0
2015-07-14,35.43,36.04,34.73,35.99,2970973.0,0.0,1.0,35.43,36.04,34.73,35.99,2970973.0
