Date	eps
Sept. 30, 2003	0.0087
Dec. 31, 2003	0.0121
March 31, 2004	0.0086
June 30, 2004	0.0114
Sept. 30, 2004	0.0169
Dec. 31, 2004	0.05
March 31, 2005	0.0486
June 30, 2005	0.0529
Sept. 30, 2005	0.0705
Dec. 31, 2005	0.0929
March 31, 2006	0.0671
June 30, 2006	0.0771
Sept. 30, 2006	0.0881
Dec. 31, 2006	0.1629
March 31, 2007	0.1243
June 30, 2007	0.1314
Sept. 30, 2007	0.1442
Dec. 31, 2007	0.2514
March 31, 2008	0.1657
June 30, 2008	0.17
Sept. 30, 2008	0.382
Dec. 31, 2008	0.3571
March 31, 2009	0.2557
June 30, 2009	0.2871
Sept. 30, 2009	0.3956
Dec. 31, 2009	0.5243
March 31, 2010	0.4757
June 30, 2010	0.5014
Sept. 30, 2010	0.6626
Dec. 31, 2010	0.9186
March 31, 2011	0.9143
June 30, 2011	1.113
Sept. 30, 2011	1.007
Dec. 31, 2011	1.981
March 31, 2012	1.757
June 30, 2012	1.331
Sept. 30, 2012	1.239
Dec. 31, 2012	1.973
March 31, 2013	1.441
June 30, 2013	1.07
Sept. 30, 2013	1.180
Dec. 31, 2013	2.07
March 31, 2014	1.66
June 30, 2014	1.28
Sept. 30, 2014	1.418
Dec. 31, 2014	3.06
March 31, 2015	2.33
June 30, 2015	1.85
Sept. 30, 2015	1.958
Dec. 31, 2015	3.28
