Date	EPS
March 31, 2003	-0.42
June 30, 2003	-0.40
Sept. 30, 2003	-0.09
Dec. 31, 2003	0.1237
March 31, 2004	0.12
June 30, 2004	0.09
Sept. 30, 2004	0.12
Dec. 31, 2004	-0.0798
March 31, 2005	-0.04
June 30, 2005	0.03
Sept. 30, 2005	0.18
Dec. 31, 2005	0.1789
March 31, 2006	0.38
June 30, 2006	0.18
Sept. 30, 2006	0.27
Dec. 31, 2006	-1.079
March 31, 2007	-1.11
June 30, 2007	-1.09
Sept. 30, 2007	-0.71
Dec. 31, 2007	-3.060
March 31, 2008	-0.60
June 30, 2008	-1.97
Sept. 30, 2008	-0.22
Dec. 31, 2008	-2.366
March 31, 2009	-0.66
June 30, 2009	-0.49
Sept. 30, 2009	-0.18
Dec. 31, 2009	1.623
March 31, 2010	0.35
June 30, 2010	-0.06
Sept. 30, 2010	-0.17
Dec. 31, 2010	0.5095
March 31, 2011	0.68
June 30, 2011	0.08
Sept. 30, 2011	0.13
Dec. 31, 2011	-0.2415
March 31, 2012	-0.80
June 30, 2012	0.05
Sept. 30, 2012	-0.21
Dec. 31, 2012	-0.6332
March 31, 2013	-0.19
June 30, 2013	-0.10
Sept. 30, 2013	0.06
Dec. 31, 2013	0.1176
March 31, 2014	-0.03
June 30, 2014	-0.05
Sept. 30, 2014	0.02
Dec. 31, 2014	-0.4685
March 31, 2015	-0.23
June 30, 2015	-0.23
