Date	eps
Sept. 30, 2003	0.04
Dec. 31, 2003	0.1472
March 31, 2004	0.26
June 30, 2004	0.18
Sept. 30, 2004	0.13
Dec. 31, 2004	0.8084
March 31, 2005	0.18
June 30, 2005	0.12
Sept. 30, 2005	0.07
Dec. 31, 2005	0.4671
March 31, 2006	0.12
June 30, 2006	0.05
Sept. 30, 2006	0.05
Dec. 31, 2006	0.2304
March 31, 2007	0.26
June 30, 2007	0.19
Sept. 30, 2007	0.19
Dec. 31, 2007	0.4848
March 31, 2008	0.34
June 30, 2008	0.37
Sept. 30, 2008	0.27
Dec. 31, 2008	0.5172
March 31, 2009	0.41
June 30, 2009	0.32
Sept. 30, 2009	0.45
Dec. 31, 2009	0.8514
March 31, 2010	0.66
June 30, 2010	0.45
Sept. 30, 2010	0.51
Dec. 31, 2010	0.9063
March 31, 2011	0.44
June 30, 2011	0.41
Sept. 30, 2011	0.14
Dec. 31, 2011	0.3815
March 31, 2012	0.28
June 30, 2012	0.01
Sept. 30, 2012	-0.60
Dec. 31, 2012	0.2149
March 31, 2013	0.18
June 30, 2013	-0.02
Sept. 30, 2013	-0.09
Dec. 31, 2013	0.5128
March 31, 2014	0.23
June 30, 2014	-0.27
Sept. 30, 2014	-0.95
Dec. 31, 2014	0.4602
March 31, 2015	-0.12
June 30, 2015	0.19
Sept. 30, 2015	0.17
Dec. 31, 2015	1.00
