Date	EPS
March 31, 2003	0.032
June 30, 2003	0.034
Sept. 30, 2003	0.037
Dec. 31, 2003	-0.0026
March 31, 2004	0.033
June 30, 2004	0.0379
Sept. 30, 2004	0.0491
Dec. 31, 2004	0.0248
March 31, 2005	0.036
June 30, 2005	0.0703
Sept. 30, 2005	0.0642
Dec. 31, 2005	0.0453
March 31, 2006	0.0444
June 30, 2006	0.0297
Sept. 30, 2006	0.0712
Dec. 31, 2006	0.0408
March 31, 2007	0.0407
June 30, 2007	0.0178
Sept. 30, 2007	0.0376
Dec. 31, 2007	0.0458
March 31, 2008	0.0297
June 30, 2008	0.0414
Sept. 30, 2008	0.051
Dec. 31, 2008	0.0507
March 31, 2009	0.0345
June 30, 2009	0.0232
Sept. 30, 2009	0.0246
Dec. 31, 2009	0.0641
March 31, 2010	0.0702
June 30, 2010	0.0716
Sept. 30, 2010	0.0512
Dec. 31, 2010	0.1034
March 31, 2011	0.0768
June 30, 2011	0.093
Sept. 30, 2011	0.1111
Dec. 31, 2011	0.1126
March 31, 2012	0.1272
June 30, 2012	0.1329
Sept. 30, 2012	0.1421
Dec. 31, 2012	0.1457
March 31, 2013	0.1724
June 30, 2013	0.0369
Sept. 30, 2013	0.1581
Dec. 31, 2013	-0.0215
March 31, 2014	0.2185
June 30, 2014	0.197
Sept. 30, 2014	0.2305
Dec. 31, 2014	0.243
March 31, 2015	0.273
June 30, 2015	0.2482
