Date	eps
March 31, 2003	-0.0158
June 30, 2003	0.0075
Sept. 30, 2003	-0.0206
Dec. 31, 2003	0.1491
March 31, 2004	0.0125
June 30, 2004	0.0225
Sept. 30, 2004	0.045
Dec. 31, 2004	0.175
March 31, 2005	0.0005
June 30, 2005	-0.005
Sept. 30, 2005	-0.025
Dec. 31, 2005	0.115
March 31, 2006	-0.0165
June 30, 2006	-0.035
Sept. 30, 2006	-0.045
Dec. 31, 2006	0.23
March 31, 2007	-0.0255
June 30, 2007	0.045
Sept. 30, 2007	0.00
Dec. 31, 2007	0.43
March 31, 2008	0.0694
June 30, 2008	0.09
Sept. 30, 2008	-0.08
Dec. 31, 2008	-0.0531
March 31, 2009	0.14
June 30, 2009	0.15
Sept. 30, 2009	0.01
Dec. 31, 2009	-0.2261
March 31, 2010	0.30
June 30, 2010	0.17
Sept. 30, 2010	0.04
Dec. 31, 2010	-0.1945
March 31, 2011	0.42
June 30, 2011	0.29
Sept. 30, 2011	0.13
Dec. 31, 2011	0.0865
March 31, 2012	0.33
June 30, 2012	0.16
Sept. 30, 2012	0.20
Dec. 31, 2012	0.3166
March 31, 2013	0.40
June 30, 2013	0.28
Sept. 30, 2013	0.05
Dec. 31, 2013	0.2279
March 31, 2014	0.40
June 30, 2014	0.28
Sept. 30, 2014	-0.03
Dec. 31, 2014	0.4952
March 31, 2015	0.53
June 30, 2015	0.29
