Date	EPS
July 31, 2008	0.20
Oct. 31, 2008	0.0822
Jan. 31, 2009	0.03
April 30, 2009	-0.14
July 31, 2009	0.01
Oct. 31, 2009	-0.0897
Jan. 31, 2010	0.16
April 30, 2010	0.37
July 31, 2010	0.50
Oct. 31, 2010	0.6667
Jan. 31, 2011	0.48
April 30, 2011	0.54
July 31, 2011	0.57
Oct. 31, 2011	0.6185
Jan. 31, 2012	0.50
April 30, 2012	0.54
July 31, 2012	0.58
Oct. 31, 2012	0.6437
Jan. 31, 2013	0.50
April 30, 2013	0.45
July 31, 2013	0.56
Oct. 31, 2013	0.6745
Jan. 31, 2014	0.53
April 30, 2014	0.61
July 31, 2014	-0.65
Oct. 31, 2014	0.4945
Jan. 31, 2015	1.26
April 30, 2015	1.21
