Date	EPS
Feb. 28, 2003	0.79
May 31, 2003	1.30
Aug. 31, 2003	2.132
Nov. 30, 2003	1.35
Feb. 29, 2004	1.04
May 31, 2004	1.68
Aug. 31, 2004	2.423
Nov. 30, 2004	1.52
Feb. 28, 2005	1.16
May 31, 2005	1.86
Aug. 31, 2005	2.686
Nov. 30, 2005	1.48
Feb. 28, 2006	1.25
May 31, 2006	1.89
Aug. 31, 2006	2.955
Nov. 30, 2006	1.73
Feb. 28, 2007	1.45
May 31, 2007	2.17
Aug. 31, 2007	3.269
Nov. 30, 2007	2.02
Feb. 29, 2008	1.67
May 31, 2008	2.49
Aug. 31, 2008	3.898
Nov. 30, 2008	2.23
Feb. 28, 2009	2.03
May 31, 2009	3.13
Aug. 31, 2009	4.504
Nov. 30, 2009	2.82
Feb. 28, 2010	2.46
May 31, 2010	4.12
Aug. 31, 2010	5.728
Nov. 30, 2010	3.77
Feb. 28, 2011	3.34
May 31, 2011	5.29
Aug. 31, 2011	7.274
Nov. 30, 2011	4.68
Feb. 29, 2012	4.15
May 31, 2012	6.28
Aug. 31, 2012	8.563
Nov. 30, 2012	5.41
Feb. 28, 2013	4.78
May 31, 2013	7.27
Aug. 31, 2013	10.52
Nov. 30, 2013	6.29
Feb. 28, 2014	5.63
May 31, 2014	8.46
Aug. 31, 2014	11.37
Nov. 30, 2014	7.27
Feb. 28, 2015	6.51
May 31, 2015	9.57
