Date	EPS
Feb. 28, 2003	-0.0697
May 31, 2003	-0.0167
Aug. 31, 2003	0.005
Nov. 30, 2003	0.0334
Feb. 29, 2004	0.0769
May 31, 2004	0.0934
Aug. 31, 2004	0.1203
Nov. 30, 2004	0.1534
Feb. 28, 2005	-0.0218
May 31, 2005	0.223
Aug. 31, 2005	0.1865
Nov. 30, 2005	0.2032
Feb. 28, 2006	0.0196
May 31, 2006	0.2264
Aug. 31, 2006	0.2498
Nov. 30, 2006	0.3098
Feb. 28, 2007	0.3174
May 31, 2007	0.3895
Aug. 31, 2007	0.5007
Nov. 30, 2007	0.6494
Feb. 29, 2008	0.724
May 31, 2008	0.8395
Aug. 31, 2008	0.86
Nov. 30, 2008	0.69
Feb. 28, 2009	0.9041
May 31, 2009	1.12
Aug. 31, 2009	0.83
Nov. 30, 2009	1.10
Feb. 28, 2010	1.265
May 31, 2010	1.38
Aug. 31, 2010	1.46
Nov. 30, 2010	1.74
Feb. 28, 2011	1.782
May 31, 2011	1.33
Aug. 31, 2011	0.63
Nov. 30, 2011	0.51
Feb. 29, 2012	-0.24
May 31, 2012	-0.99
Aug. 31, 2012	-0.45
Nov. 30, 2012	0.02
Feb. 28, 2013	0.19
May 31, 2013	-0.16
Aug. 31, 2013	-1.84
Nov. 30, 2013	-8.37
Feb. 28, 2014	-0.80
May 31, 2014	-0.37
Aug. 31, 2014	-0.39
Nov. 30, 2014	-0.28
Feb. 28, 2015	0.053
May 31, 2015	-0.10
