Date	EPS
Nov. 30, 2002	0.1267
Feb. 28, 2003	0.5959
May 31, 2003	-0.0533
Aug. 31, 2003	0.2801
Nov. 30, 2003	0.2468
Feb. 29, 2004	0.8869
May 31, 2004	0.2268
Aug. 31, 2004	0.30
Nov. 30, 2004	0.30
Feb. 28, 2005	1.161
May 31, 2005	0.34
Aug. 31, 2005	0.37
Nov. 30, 2005	0.28
Feb. 28, 2006	1.296
May 31, 2006	0.47
Aug. 31, 2006	0.47
Nov. 30, 2006	0.31
Feb. 28, 2007	1.549
May 31, 2007	0.39
Aug. 31, 2007	0.55
Nov. 30, 2007	0.53
Feb. 29, 2008	1.702
May 31, 2008	0.43
Aug. 31, 2008	0.48
Nov. 30, 2008	0.13
Feb. 28, 2009	1.346
May 31, 2009	0.36
Aug. 31, 2009	0.37
Nov. 30, 2009	0.53
Feb. 28, 2010	1.813
May 31, 2010	0.36
Aug. 31, 2010	0.60
Nov. 30, 2010	0.54
Feb. 28, 2011	1.612
May 31, 2011	0.35
Aug. 31, 2011	0.47
Nov. 30, 2011	0.42
Feb. 29, 2012	-4.909
April 30, 2012	0.46
July 31, 2012	0.04
Oct. 31, 2012	-0.03
April 30, 2013	-0.24
July 31, 2013	0.77
Oct. 31, 2013	0.16
Jan. 31, 2014	0.8265
April 30, 2014	1.31
July 31, 2014	0.42
Oct. 31, 2014	0.30
Jan. 31, 2015	1.454
April 30, 2015	0.36
