Date	EPS
March 31, 2003	-0.0026
June 30, 2003	-0.0026
Sept. 30, 2003	-0.0024
Dec. 31, 2003	0.0068
March 31, 2004	0.0013
June 30, 2004	0.0013
Sept. 30, 2004	0.0013
Dec. 31, 2004	0.0013
March 31, 2005	0.001
June 30, 2005	0.0047
Sept. 30, 2005	0.0032
Dec. 31, 2005	0.0105
March 31, 2006	0.0133
June 30, 2006	0.0211
Sept. 30, 2006	0.031
Dec. 31, 2006	0.0474
March 31, 2007	0.0318
June 30, 2007	0.0533
Sept. 30, 2007	0.0692
Dec. 31, 2007	0.0858
March 31, 2008	0.059
June 30, 2008	0.1097
Sept. 30, 2008	0.1463
Dec. 31, 2008	0.3599
March 31, 2009	0.0765
June 30, 2009	0.1616
Sept. 30, 2009	0.2073
Dec. 31, 2009	0.1806
March 31, 2010	0.202
June 30, 2010	0.3519
Sept. 30, 2010	0.4433
March 31, 2011	0.4661
June 30, 2011	0.7189
Sept. 30, 2011	0.84
Dec. 31, 2011	0.9243
March 31, 2012	0.8535
June 30, 2012	1.242
Sept. 30, 2012	1.353
Dec. 31, 2012	1.279
March 31, 2013	0.945
June 30, 2013	1.221
Sept. 30, 2013	1.412
Dec. 31, 2013	1.299
March 31, 2014	1.185
June 30, 2014	1.622
Sept. 30, 2014	1.788
Dec. 31, 2014	1.468
March 31, 2015	1.086
June 30, 2015	1.645
