Date	EPS
March 31, 2003	-0.1667
June 30, 2003	-2.053
Sept. 30, 2003	-0.0133
Dec. 31, 2003	0.0133
March 31, 2004	0.08
June 30, 2004	0.12
Sept. 30, 2004	0.0867
Dec. 31, 2004	0.0478
March 31, 2005	0.13
June 30, 2005	-0.01
Sept. 30, 2005	0.21
Dec. 31, 2005	0.3183
March 31, 2006	0.20
June 30, 2006	0.18
Sept. 30, 2006	0.19
Dec. 31, 2006	0.0771
March 31, 2007	0.10
June 30, 2007	0.06
Sept. 30, 2007	0.05
Dec. 31, 2007	0.1578
March 31, 2008	0.14
June 30, 2008	0.25
Sept. 30, 2008	0.31
Dec. 31, 2008	-0.3195
March 31, 2009	-0.19
June 30, 2009	0.03
Sept. 30, 2009	0.16
Dec. 31, 2009	0.1128
March 31, 2010	0.40
June 30, 2010	0.52
Sept. 30, 2010	0.60
Dec. 31, 2010	0.4675
March 31, 2011	0.40
June 30, 2011	0.31
Sept. 30, 2011	0.48
Dec. 31, 2011	0.4536
March 31, 2012	0.15
June 30, 2012	0.28
Sept. 30, 2012	0.38
Dec. 31, 2012	0.4313
March 31, 2013	0.33
June 30, 2013	-0.43
Sept. 30, 2013	0.55
Dec. 31, 2013	0.2892
March 31, 2014	0.28
June 30, 2014	-0.0017
Sept. 30, 2014	0.16
Dec. 31, 2014	0.6393
March 31, 2015	0.34
June 30, 2015	0.63
