Date	EPS
Dec. 31, 2002	771.00
March 31, 2003	1127.00
June 30, 2003	1452.00
Sept. 30, 2003	1176.00
Dec. 31, 2003	1553.20
March 31, 2004	1008.00
June 30, 2004	834.00
Sept. 30, 2004	739.00
Dec. 31, 2004	2170.65
March 31, 2005	886.00
June 30, 2005	941.00
Sept. 30, 2005	381.00
Dec. 31, 2005	3330.22
March 31, 2006	1501.00
June 30, 2006	1522.00
Sept. 30, 2006	1797.00
Dec. 31, 2006	2322.88
March 31, 2007	1682.00
June 30, 2007	2018.00
Sept. 30, 2007	2942.00
Dec. 31, 2007	1904.21
March 31, 2008	607.00
June 30, 2008	1859.00
Sept. 30, 2008	682.00
Dec. 31, 2008	75.52
March 31, 2009	-990.00
June 30, 2009	2123.00
Sept. 30, 2009	2087.00
Dec. 31, 2009	1969.40
March 31, 2010	2272.00
June 30, 2010	1195.00
Sept. 30, 2010	1814.00
Dec. 31, 2010	2655.66
March 31, 2011	917.00
June 30, 2011	2072.00
Sept. 30, 2011	1380.00
Dec. 31, 2011	1846.37
March 31, 2012	1966.00
June 30, 2012	1882.00
Sept. 30, 2012	2373.00
Dec. 31, 2012	2757.30
March 31, 2013	2977.00
June 30, 2013	2763.00
Sept. 30, 2013	3074.00
Dec. 31, 2013	3035.49
March 31, 2014	2862.00
June 30, 2014	3889.00
Sept. 30, 2014	2811.00
Dec. 31, 2014	2529.14
March 31, 2015	3143.00
