Date	EPS
Sept. 30, 2005	0.19
Dec. 31, 2005	0.1608
March 31, 2006	0.26
June 30, 2006	0.33
Sept. 30, 2006	0.36
Dec. 31, 2006	0.3288
March 31, 2007	0.38
June 30, 2007	0.60
Sept. 30, 2007	0.62
Dec. 31, 2007	0.5245
March 31, 2008	0.52
June 30, 2008	0.74
Sept. 30, 2008	0.59
Dec. 31, 2008	0.5175
March 31, 2009	0.78
June 30, 2009	1.10
Sept. 30, 2009	1.08
Dec. 31, 2009	0.9903
March 31, 2010	1.19
June 30, 2010	1.46
Sept. 30, 2010	1.52
Dec. 31, 2010	1.463
March 31, 2011	1.46
June 30, 2011	1.59
Sept. 30, 2011	1.90
Dec. 31, 2011	1.808
March 31, 2012	1.97
June 30, 2012	2.56
Sept. 30, 2012	2.27
Dec. 31, 2012	1.948
March 31, 2013	2.45
June 30, 2013	2.82
Sept. 30, 2013	2.66
Dec. 31, 2013	2.534
March 31, 2014	2.64
June 30, 2014	3.50
Sept. 30, 2014	4.15
Dec. 31, 2014	3.844
March 31, 2015	3.88
June 30, 2015	4.45
