Date	EPS
March 31, 2003	0.895
June 30, 2003	0.865
Sept. 30, 2003	0.95
Dec. 31, 2003	0.7547
March 31, 2004	1.165
June 30, 2004	1.48
Sept. 30, 2004	1.43
Dec. 31, 2004	1.720
March 31, 2005	2.05
June 30, 2005	2.21
Sept. 30, 2005	2.68
Dec. 31, 2005	2.612
March 31, 2006	2.34
June 30, 2006	3.09
Sept. 30, 2006	2.31
Dec. 31, 2006	1.909
March 31, 2007	2.12
June 30, 2007	0.18
Sept. 30, 2007	2.23
Dec. 31, 2007	2.712
March 31, 2008	2.62
June 30, 2008	3.50
Sept. 30, 2008	3.39
Dec. 31, 2008	-21.38
March 31, 2009	0.54
June 30, 2009	0.57
Sept. 30, 2009	0.97
Dec. 31, 2009	0.8559
March 31, 2010	1.40
June 30, 2010	2.77
Sept. 30, 2010	2.05
Dec. 31, 2010	1.392
March 31, 2011	2.09
June 30, 2011	2.41
Sept. 30, 2011	1.91
Dec. 31, 2011	2.565
March 31, 2012	2.27
June 30, 2012	1.80
Sept. 30, 2012	1.46
Dec. 31, 2012	1.158
March 31, 2013	1.73
June 30, 2013	1.65
Sept. 30, 2013	2.00
Dec. 31, 2013	2.002
March 31, 2014	1.71
June 30, 2014	1.67
Sept. 30, 2014	2.17
Dec. 31, 2014	-0.0315
March 31, 2015	0.22
June 30, 2015	-0.15
