Date	EPS
Feb. 28, 2003	0.39
May 31, 2003	0.33
Aug. 31, 2003	0.5251
Nov. 30, 2003	0.34
Feb. 29, 2004	0.48
May 31, 2004	0.42
Aug. 31, 2004	0.6111
Nov. 30, 2004	0.40
Feb. 28, 2005	0.62
May 31, 2005	0.43
Aug. 31, 2005	0.7218
Nov. 30, 2005	0.45
Feb. 28, 2006	0.62
May 31, 2006	0.49
Aug. 31, 2006	0.7525
Nov. 30, 2006	0.51
Feb. 28, 2007	0.54
May 31, 2007	0.49
Aug. 31, 2007	0.836
Nov. 30, 2007	0.59
Feb. 29, 2008	0.74
May 31, 2008	0.67
Aug. 31, 2008	0.8961
Nov. 30, 2008	0.60
Feb. 28, 2009	0.55
May 31, 2009	0.48
Aug. 31, 2009	0.8465
Nov. 30, 2009	0.60
Feb. 28, 2010	0.67
May 31, 2010	0.68
Aug. 31, 2010	0.9735
Nov. 30, 2010	0.71
Feb. 28, 2011	0.79
May 31, 2011	0.73
Aug. 31, 2011	1.076
Nov. 30, 2011	0.73
Feb. 29, 2012	0.90
May 31, 2012	0.88
Aug. 31, 2012	1.390
Nov. 30, 2012	0.95
Feb. 28, 2013	1.24
May 31, 2013	1.04
Aug. 31, 2013	1.393
Nov. 30, 2013	0.96
Feb. 28, 2014	1.05
May 31, 2014	1.07
Aug. 31, 2014	1.577
Nov. 30, 2014	1.12
Feb. 28, 2015	1.35
May 31, 2015	1.17
