Date	EPS
April 30, 2003	0.0025
July 31, 2003	0.0025
Oct. 31, 2003	0.0025
Jan. 31, 2004	0.0019
April 30, 2004	0.0025
July 31, 2004	0.0025
Oct. 31, 2004	0.005
Jan. 31, 2005	0.0076
April 30, 2005	0.01
July 31, 2005	0.01
Oct. 31, 2005	0.0275
Jan. 31, 2006	0.0122
April 30, 2006	0.00
July 31, 2006	0.00
Oct. 31, 2006	0.00
Jan. 31, 2007	0.0009
April 30, 2007	0.0025
July 31, 2007	0.0075
Oct. 31, 2007	0.0125
Jan. 31, 2008	0.0147
April 30, 2008	0.02
July 31, 2008	0.02
Oct. 31, 2008	0.02
Jan. 31, 2009	0.0274
April 30, 2009	0.0375
July 31, 2009	0.0425
Oct. 31, 2009	0.04
Jan. 31, 2010	0.0388
April 30, 2010	0.0325
July 31, 2010	0.0275
Oct. 31, 2010	0.0375
Jan. 31, 2011	0.0193
April 30, 2011	0.00
July 31, 2011	-0.0075
Oct. 31, 2011	-0.0075
Jan. 31, 2012	-0.0075
April 30, 2012	-0.04
July 31, 2012	-0.02
Oct. 31, 2012	-0.39
Jan. 31, 2013	-0.0359
April 30, 2013	-0.12
July 31, 2013	0.12
Oct. 31, 2013	-0.21
Jan. 31, 2014	-0.192
April 30, 2014	-0.16
July 31, 2014	-0.10
Oct. 31, 2014	-0.06
Jan. 31, 2015	-0.1032
April 30, 2015	0.01
