Date	EPS
Jan. 31, 2003	0.14
April 30, 2003	0.14
July 31, 2003	0.1379
Oct. 31, 2003	0.15
Jan. 31, 2004	0.10
April 30, 2004	0.17
July 31, 2004	0.1988
Oct. 31, 2004	0.21
Jan. 31, 2005	0.21
April 30, 2005	0.21
July 31, 2005	0.2377
Oct. 31, 2005	0.20
Jan. 31, 2006	0.22
April 30, 2006	0.22
July 31, 2006	0.2495
Oct. 31, 2006	0.26
Jan. 31, 2007	0.31
April 30, 2007	0.30
July 31, 2007	0.3066
Oct. 31, 2007	0.35
Jan. 31, 2008	0.33
April 30, 2008	0.29
July 31, 2008	0.3331
Oct. 31, 2008	0.37
Jan. 31, 2009	0.26
April 30, 2009	0.23
July 31, 2009	0.1859
Oct. 31, 2009	0.30
Jan. 31, 2010	0.32
April 30, 2010	0.37
July 31, 2010	0.3345
Oct. 31, 2010	0.34
Jan. 31, 2011	0.27
April 30, 2011	0.33
July 31, 2011	0.2248
Oct. 31, 2011	0.33
Jan. 31, 2012	0.40
April 30, 2012	0.40
July 31, 2012	0.3575
Oct. 31, 2012	0.39
Jan. 31, 2013	0.59
April 30, 2013	0.46
July 31, 2013	0.4175
Oct. 31, 2013	0.37
Jan. 31, 2014	0.27
April 30, 2014	0.42
July 31, 2014	0.4329
Oct. 31, 2014	0.35
Jan. 31, 2015	0.46
April 30, 2015	0.47
