Date	EPS
March 31, 2003	0.15
June 30, 2003	0.24
Sept. 30, 2003	0.1686
Dec. 31, 2003	0.33
March 31, 2004	0.26
June 30, 2004	0.29
Sept. 30, 2004	0.2033
Dec. 31, 2004	0.33
March 31, 2005	0.31
June 30, 2005	0.39
Sept. 30, 2005	0.168
Dec. 31, 2005	0.37
March 31, 2006	0.37
June 30, 2006	0.53
Sept. 30, 2006	0.3605
Dec. 31, 2006	0.79
March 31, 2007	0.44
June 30, 2007	0.57
Sept. 30, 2007	0.4335
Dec. 31, 2007	0.63
March 31, 2008	0.58
June 30, 2008	0.66
Sept. 30, 2008	0.3994
Dec. 31, 2008	0.45
March 31, 2009	0.33
June 30, 2009	0.51
Sept. 30, 2009	0.4743
Dec. 31, 2009	0.44
March 31, 2010	0.48
June 30, 2010	0.67
Sept. 30, 2010	0.4306
Dec. 31, 2010	0.68
March 31, 2011	0.49
June 30, 2011	0.77
Sept. 30, 2011	0.5832
Dec. 31, 2011	0.80
March 31, 2012	0.63
June 30, 2012	1.01
Sept. 30, 2012	0.6843
Dec. 31, 2012	0.77
March 31, 2013	0.83
June 30, 2013	1.01
Sept. 30, 2013	0.7727
Dec. 31, 2013	1.03
March 31, 2014	1.08
June 30, 2014	1.28
Sept. 30, 2014	0.864
Dec. 31, 2014	1.27
March 31, 2015	1.23
June 30, 2015	1.45
