Date	EPS
March 31, 2003	0.0314
June 30, 2003	0.06
Sept. 30, 2003	0.25
Dec. 31, 2003	1.26
March 31, 2004	0.2878
June 30, 2004	0.08
Sept. 30, 2004	0.31
Dec. 31, 2004	1.18
March 31, 2005	0.0216
June 30, 2005	-0.19
Sept. 30, 2005	0.16
Dec. 31, 2005	0.83
March 31, 2006	-0.0526
June 30, 2006	-0.26
Sept. 30, 2006	0.07
Dec. 31, 2006	0.50
March 31, 2007	-0.0804
June 30, 2007	-0.42
Sept. 30, 2007	-0.62
Dec. 31, 2007	-0.10
March 31, 2008	-0.2934
June 30, 2008	-0.30
Sept. 30, 2008	-0.97
Dec. 31, 2008	-2.00
March 31, 2009	-0.13
June 30, 2009	-0.72
Sept. 30, 2009	-1.21
Dec. 31, 2009	-0.25
March 31, 2010	0.0915
June 30, 2010	0.29
Sept. 30, 2010	-0.61
Dec. 31, 2010	-0.97
March 31, 2011	0.4576
June 30, 2011	0.66
Sept. 30, 2011	-1.03
Dec. 31, 2011	-0.62
March 31, 2012	1.140
June 30, 2012	0.63
Sept. 30, 2012	-1.21
Dec. 31, 2012	-0.15
March 31, 2013	1.032
June 30, 2013	0.71
Sept. 30, 2013	-0.89
Dec. 31, 2013	-1.00
March 31, 2014	1.07
June 30, 2014	1.04
Sept. 30, 2014	0.01
Dec. 31, 2014	0.44
March 31, 2015	1.183
June 30, 2015	1.32
