Date	eps
March 31, 2003	0.08
June 30, 2003	0.07
Sept. 30, 2003	0.08
Dec. 31, 2003	0.1068
March 31, 2004	0.15
June 30, 2004	0.14
Sept. 30, 2004	0.13
Dec. 31, 2004	0.1479
March 31, 2005	0.19
June 30, 2005	0.21
Sept. 30, 2005	0.18
Dec. 31, 2005	0.1957
March 31, 2006	0.17
June 30, 2006	0.17
Sept. 30, 2006	0.20
Dec. 31, 2006	0.2471
March 31, 2007	0.27
June 30, 2007	0.27
Sept. 30, 2007	-0.69
Dec. 31, 2007	0.3733
March 31, 2008	0.34
June 30, 2008	0.35
Sept. 30, 2008	0.38
Dec. 31, 2008	0.286
March 31, 2009	0.28
June 30, 2009	0.25
Sept. 30, 2009	0.27
Dec. 31, 2009	1.025
March 31, 2010	0.30
June 30, 2010	0.31
Sept. 30, 2010	0.33
Dec. 31, 2010	0.4191
March 31, 2011	0.36
June 30, 2011	0.22
Sept. 30, 2011	0.37
Dec. 31, 2011	1.500
March 31, 2012	0.44
June 30, 2012	0.53
Sept. 30, 2012	0.45
Dec. 31, 2012	0.5686
March 31, 2013	0.51
June 30, 2013	0.49
Sept. 30, 2013	0.53
Dec. 31, 2013	0.6489
March 31, 2014	-1.82
June 30, 2014	0.53
Sept. 30, 2014	0.54
Dec. 31, 2014	0.803
March 31, 2015	0.51
June 30, 2015	0.07
