Date	eps
March 31, 2003	0.02
June 30, 2003	0.04
Sept. 30, 2003	0.07
Dec. 31, 2003	0.0946
March 31, 2004	0.06
June 30, 2004	0.08
Sept. 30, 2004	0.09
Dec. 31, 2004	0.131
March 31, 2005	0.11
June 30, 2005	0.12
Sept. 30, 2005	0.17
Dec. 31, 2005	0.0615
March 31, 2006	0.12
June 30, 2006	0.12
Sept. 30, 2006	0.13
Dec. 31, 2006	0.1814
March 31, 2007	0.15
June 30, 2007	0.16
Sept. 30, 2007	0.23
Dec. 31, 2007	0.2379
March 31, 2008	0.12
June 30, 2008	0.17
Sept. 30, 2008	0.19
Dec. 31, 2008	0.1327
March 31, 2009	0.10
June 30, 2009	0.10
Sept. 30, 2009	0.14
Dec. 31, 2009	0.1857
March 31, 2010	0.17
June 30, 2010	0.20
Sept. 30, 2010	0.22
Dec. 31, 2010	0.2866
March 31, 2011	0.21
June 30, 2011	0.24
Sept. 30, 2011	0.27
Dec. 31, 2011	0.3812
March 31, 2012	0.27
June 30, 2012	0.29
Sept. 30, 2012	0.28
Dec. 31, 2012	0.3949
March 31, 2013	0.26
June 30, 2013	0.32
Sept. 30, 2013	0.27
Dec. 31, 2013	0.4839
March 31, 2014	0.19
June 30, 2014	0.28
Sept. 30, 2014	0.28
Dec. 31, 2014	0.5615
March 31, 2015	0.13
June 30, 2015	0.25
