Date	EPS
Sept. 30, 2004	0.34
Dec. 31, 2004	0.2591
March 31, 2005	0.28
June 30, 2005	0.44
Sept. 30, 2005	0.46
Dec. 31, 2005	0.1388
March 31, 2006	0.12
June 30, 2006	0.54
Sept. 30, 2006	0.34
Dec. 31, 2006	0.3909
March 31, 2007	0.22
June 30, 2007	0.60
Sept. 30, 2007	0.64
Dec. 31, 2007	0.4352
March 31, 2008	0.34
June 30, 2008	0.66
Sept. 30, 2008	0.66
Dec. 31, 2008	-19.24
March 31, 2009	0.28
June 30, 2009	0.28
Sept. 30, 2009	0.80
Dec. 31, 2009	0.6906
March 31, 2010	0.40
June 30, 2010	0.80
Sept. 30, 2010	1.24
Dec. 31, 2010	0.5048
March 31, 2011	0.37
June 30, 2011	1.01
Sept. 30, 2011	1.50
Dec. 31, 2011	0.5134
March 31, 2012	-0.02
June 30, 2012	0.76
Sept. 30, 2012	1.21
Dec. 31, 2012	0.0478
March 31, 2013	-0.77
June 30, 2013	0.51
Sept. 30, 2013	1.22
Dec. 31, 2013	0.7028
March 31, 2014	-0.11
June 30, 2014	0.67
Sept. 30, 2014	1.94
Dec. 31, 2014	0.5012
March 31, 2015	0.34
June 30, 2015	3.38
