Date	eps
June 30, 2003	0.0601
March 31, 2004	0.1201
June 30, 2004	0.1501
Sept. 30, 2004	0.0951
Dec. 31, 2004	0.3572
March 31, 2005	0.6456
June 30, 2005	0.5956
Sept. 30, 2005	0.6606
Dec. 31, 2005	0.6125
March 31, 2006	0.9759
June 30, 2006	1.166
Sept. 30, 2006	1.181
Dec. 31, 2006	1.645
March 31, 2007	1.592
June 30, 2007	1.466
Sept. 30, 2007	1.692
Dec. 31, 2007	0.946
March 31, 2008	2.062
June 30, 2008	1.962
Sept. 30, 2008	2.032
Dec. 31, 2008	0.3086
March 31, 2009	2.247
June 30, 2009	2.332
Sept. 30, 2009	2.568
Dec. 31, 2009	3.067
March 31, 2010	3.033
June 30, 2010	2.858
Sept. 30, 2010	3.363
Dec. 31, 2010	3.910
March 31, 2011	2.758
June 30, 2011	3.844
Sept. 30, 2011	4.169
Dec. 31, 2011	3.958
March 31, 2012	4.379
June 30, 2012	4.214
Sept. 30, 2012	3.268
Dec. 31, 2012	4.312
March 31, 2013	4.975
June 30, 2013	4.77
Sept. 30, 2013	4.38
Dec. 31, 2013	4.950
March 31, 2014	5.04
June 30, 2014	4.88
Sept. 30, 2014	3.98
Dec. 31, 2014	7.339
March 31, 2015	5.20
June 30, 2015	4.93
Sept. 30, 2015	5.73
