Date	EPS
Feb. 28, 2003	1.29
May 31, 2003	1.36
Aug. 31, 2003	1.32
Nov. 30, 2003	1.890
Feb. 29, 2004	2.50
May 31, 2004	2.31
Aug. 31, 2004	1.74
Nov. 30, 2004	2.357
Feb. 28, 2005	2.94
May 31, 2005	1.71
Aug. 31, 2005	3.25
Nov. 30, 2005	3.347
Feb. 28, 2006	5.08
May 31, 2006	4.78
Aug. 31, 2006	3.26
Nov. 30, 2006	6.597
Feb. 28, 2007	6.67
May 31, 2007	4.93
Aug. 31, 2007	6.13
Nov. 30, 2007	7.006
Feb. 29, 2008	3.23
May 31, 2008	4.58
Aug. 31, 2008	1.81
Nov. 30, 2008	-4.971
March 31, 2009	3.39
June 30, 2009	4.93
Sept. 30, 2009	5.25
Dec. 31, 2009	8.161
March 31, 2010	5.59
June 30, 2010	0.78
Sept. 30, 2010	2.98
Dec. 31, 2010	3.787
March 31, 2011	1.56
June 30, 2011	1.85
Sept. 30, 2011	-0.84
Dec. 31, 2011	1.853
March 31, 2012	3.92
June 30, 2012	1.78
Sept. 30, 2012	2.85
Dec. 31, 2012	5.620
March 31, 2013	4.29
June 30, 2013	3.70
Sept. 30, 2013	2.88
Dec. 31, 2013	4.599
March 31, 2014	4.02
June 30, 2014	4.10
Sept. 30, 2014	4.57
Dec. 31, 2014	4.386
March 31, 2015	5.94
June 30, 2015	1.98
