Date	EPS
March 31, 2003	0.14
June 30, 2003	0.14
Sept. 30, 2003	0.25
Dec. 31, 2003	0.3258
March 31, 2004	0.26
June 30, 2004	0.27
Sept. 30, 2004	0.30
Dec. 31, 2004	0.3342
March 31, 2005	0.35
June 30, 2005	0.33
Sept. 30, 2005	0.32
Dec. 31, 2005	0.4035
March 31, 2006	0.23
June 30, 2006	0.15
Sept. 30, 2006	0.22
Dec. 31, 2006	0.2559
March 31, 2007	0.28
June 30, 2007	0.22
Sept. 30, 2007	0.30
Dec. 31, 2007	0.3793
March 31, 2008	0.25
June 30, 2008	0.28
Sept. 30, 2008	0.35
Dec. 31, 2008	0.0416
March 31, 2009	0.11
June 30, 2009	-0.07
Sept. 30, 2009	0.33
Dec. 31, 2009	0.4038
March 31, 2010	0.43
June 30, 2010	0.51
Sept. 30, 2010	0.52
Dec. 31, 2010	0.558
March 31, 2011	0.56
June 30, 2011	0.54
Sept. 30, 2011	0.65
Dec. 31, 2011	0.6405
March 31, 2012	0.53
June 30, 2012	0.54
Sept. 30, 2012	0.58
Dec. 31, 2012	0.4842
March 31, 2013	0.40
June 30, 2013	0.39
Sept. 30, 2013	0.58
Dec. 31, 2013	0.5144
March 31, 2014	0.38
June 30, 2014	0.55
Sept. 30, 2014	0.66
Dec. 31, 2014	0.7412
March 31, 2015	0.41
June 30, 2015	0.55
