Date	EPS
March 31, 2003	0.01
June 30, 2003	0.0292
Sept. 30, 2003	0.04
Dec. 31, 2003	0.05
March 31, 2004	0.13
June 30, 2004	0.2644
Sept. 30, 2004	0.64
Dec. 31, 2004	0.59
March 31, 2005	0.41
June 30, 2005	0.4544
Sept. 30, 2005	0.35
Dec. 31, 2005	0.55
March 31, 2006	0.60
June 30, 2006	0.8378
Sept. 30, 2006	1.27
Dec. 31, 2006	1.15
March 31, 2007	1.15
June 30, 2007	1.280
Sept. 30, 2007	1.18
Dec. 31, 2007	0.91
March 31, 2008	0.82
June 30, 2008	0.5709
Sept. 30, 2008	0.07
Dec. 31, 2008	-0.19
March 31, 2009	-1.58
June 30, 2009	-0.7008
Sept. 30, 2009	0.13
Dec. 31, 2009	0.54
March 31, 2010	0.94
June 30, 2010	1.099
Sept. 30, 2010	1.55
Dec. 31, 2010	1.78
March 31, 2011	1.45
June 30, 2011	1.009
Sept. 30, 2011	0.58
Dec. 31, 2011	0.27
March 31, 2012	0.38
June 30, 2012	0.1334
Sept. 30, 2012	0.02
Dec. 31, 2012	0.04
March 31, 2013	0.11
June 30, 2013	0.5018
Sept. 30, 2013	0.50
Dec. 31, 2013	0.87
March 31, 2014	0.96
June 30, 2014	1.263
Sept. 30, 2014	0.80
Dec. 31, 2014	1.00
March 31, 2015	1.16
June 30, 2015	0.74
