Date	EPS
March 31, 2003	3.70
June 30, 2003	5.97
Sept. 30, 2003	-1.68
Dec. 31, 2003	4.238
March 31, 2004	4.20
June 30, 2004	5.84
Sept. 30, 2004	1.40
Dec. 31, 2004	4.965
March 31, 2005	7.47
June 30, 2005	5.95
Sept. 30, 2005	-11.31
Dec. 31, 2005	11.76
March 31, 2006	7.67
June 30, 2006	9.11
Sept. 30, 2006	10.47
Dec. 31, 2006	12.15
March 31, 2007	9.88
June 30, 2007	12.15
Sept. 30, 2007	9.26
Dec. 31, 2007	9.362
March 31, 2008	3.41
June 30, 2008	8.29
Sept. 30, 2008	-14.46
Dec. 31, 2008	-3.333
March 31, 2009	1.67
June 30, 2009	3.34
Sept. 30, 2009	6.02
Dec. 31, 2009	9.498
March 31, 2010	4.33
June 30, 2010	2.12
Sept. 30, 2010	6.48
Dec. 31, 2010	14.37
March 31, 2011	0.85
June 30, 2011	3.11
Sept. 30, 2011	5.48
Dec. 31, 2011	5.191
March 31, 2012	5.92
June 30, 2012	8.42
Sept. 30, 2012	5.32
Dec. 31, 2012	5.877
March 31, 2013	9.50
June 30, 2013	2.24
Sept. 30, 2013	4.67
Dec. 31, 2013	6.941
March 31, 2014	6.25
June 30, 2014	2.66
Sept. 30, 2014	5.30
Dec. 31, 2014	8.053
March 31, 2015	13.49
June 30, 2015	6.72
