Date	eps
March 31, 2003	0.20
June 30, 2003	0.1381
Sept. 30, 2003	0.24
Dec. 31, 2003	0.14
March 31, 2004	0.12
June 30, 2004	0.2473
Sept. 30, 2004	0.23
Dec. 31, 2004	0.32
March 31, 2005	0.23
June 30, 2005	0.3419
Sept. 30, 2005	0.29
Dec. 31, 2005	0.34
March 31, 2006	0.29
June 30, 2006	0.2761
Sept. 30, 2006	0.35
Dec. 31, 2006	0.26
March 31, 2007	0.50
June 30, 2007	0.3136
Sept. 30, 2007	0.45
Dec. 31, 2007	0.50
March 31, 2008	0.47
June 30, 2008	0.4569
Sept. 30, 2008	0.48
Dec. 31, 2008	0.47
March 31, 2009	0.33
June 30, 2009	0.3398
Sept. 30, 2009	0.40
Dec. 31, 2009	0.74
March 31, 2010	0.45
June 30, 2010	0.5109
Sept. 30, 2010	0.62
Dec. 31, 2010	0.77
March 31, 2011	0.61
June 30, 2011	0.6874
Sept. 30, 2011	0.68
Dec. 31, 2011	0.78
March 31, 2012	0.60
June 30, 2012	-0.0586
Sept. 30, 2012	0.53
Dec. 31, 2012	0.76
March 31, 2013	0.72
June 30, 2013	0.5866
Sept. 30, 2013	0.62
Dec. 31, 2013	0.78
March 31, 2014	0.68
June 30, 2014	0.5515
Sept. 30, 2014	0.54
Dec. 31, 2014	0.71
March 31, 2015	0.61
June 30, 2015	-0.3963
