Date	EPS
Feb. 28, 2003	-1.02
May 31, 2003	-0.36
Aug. 31, 2003	-0.2022
Nov. 30, 2003	0.00
Feb. 29, 2004	-0.04
May 31, 2004	0.13
Aug. 31, 2004	0.1369
Nov. 30, 2004	0.23
Feb. 28, 2005	0.17
May 31, 2005	-0.20
Aug. 31, 2005	0.0666
Nov. 30, 2005	0.09
Feb. 28, 2006	0.27
May 31, 2006	0.12
Aug. 31, 2006	0.0839
Nov. 30, 2006	0.15
Feb. 28, 2007	-0.07
May 31, 2007	-0.29
Aug. 31, 2007	-0.205
Nov. 30, 2007	-0.34
Feb. 29, 2008	-1.01
May 31, 2008	-0.30
Aug. 31, 2008	-0.4451
Nov. 30, 2008	-0.91
Feb. 28, 2009	-0.99
May 31, 2009	-0.37
Aug. 31, 2009	-0.1186
Nov. 30, 2009	0.23
Feb. 28, 2010	0.39
May 31, 2010	0.92
Aug. 31, 2010	0.299
Nov. 30, 2010	0.15
Feb. 28, 2011	0.07
May 31, 2011	0.07
Aug. 31, 2011	-0.1361
Nov. 30, 2011	-0.19
Feb. 29, 2012	-0.29
May 31, 2012	-0.32
Aug. 31, 2012	-0.2399
Nov. 30, 2012	-0.27
Feb. 28, 2013	-0.28
May 31, 2013	0.04
Aug. 31, 2013	1.455
Nov. 30, 2013	0.30
Feb. 28, 2014	0.61
May 31, 2014	0.68
Aug. 31, 2014	0.9552
Nov. 30, 2014	0.84
Feb. 28, 2015	0.78
May 31, 2015	0.42
