Date	EPS
March 31, 2003	0.23
June 30, 2003	0.2401
Sept. 30, 2003	0.25
Dec. 31, 2003	0.28
March 31, 2004	0.31
June 30, 2004	0.0312
Sept. 30, 2004	0.42
Dec. 31, 2004	0.42
March 31, 2005	0.37
June 30, 2005	0.1403
Sept. 30, 2005	0.25
Dec. 31, 2005	0.29
March 31, 2006	0.32
June 30, 2006	0.2852
Sept. 30, 2006	0.06
Dec. 31, 2006	0.30
March 31, 2007	0.23
June 30, 2007	0.2789
Sept. 30, 2007	0.25
Dec. 31, 2007	0.33
March 31, 2008	0.19
June 30, 2008	0.2049
Sept. 30, 2008	0.21
Dec. 31, 2008	-0.12
March 31, 2009	-0.09
June 30, 2009	0.0265
Sept. 30, 2009	0.13
Dec. 31, 2009	0.19
March 31, 2010	-0.11
June 30, 2010	0.1898
Sept. 30, 2010	0.39
Dec. 31, 2010	0.36
March 31, 2011	0.45
June 30, 2011	0.4099
Sept. 30, 2011	0.44
Dec. 31, 2011	0.29
March 31, 2012	0.18
June 30, 2012	0.3692
Sept. 30, 2012	0.43
Dec. 31, 2012	0.26
March 31, 2013	0.44
June 30, 2013	0.3995
Sept. 30, 2013	0.36
Dec. 31, 2013	0.15
March 31, 2014	0.42
June 30, 2014	0.2933
Sept. 30, 2014	0.35
Dec. 31, 2014	-0.25
March 31, 2015	0.28
June 30, 2015	0.34
