Date	eps
March 31, 2003	-0.0143
June 30, 2003	0.0079
Sept. 30, 2003	0.0071
Dec. 31, 2003	0.0048
March 31, 2004	-0.0157
June 30, 2004	0.0057
Sept. 30, 2004	0.0414
Dec. 31, 2004	0.0123
March 31, 2005	-0.0243
June 30, 2005	0.0129
Sept. 30, 2005	0.0157
Dec. 31, 2005	0.0811
March 31, 2006	0.01
June 30, 2006	0.0357
Sept. 30, 2006	0.0257
Dec. 31, 2006	0.0301
March 31, 2007	0.02
June 30, 2007	0.0514
Sept. 30, 2007	0.0329
Dec. 31, 2007	0.0337
March 31, 2008	0.03
June 30, 2008	0.06
Sept. 30, 2008	0.0471
Dec. 31, 2008	0.0538
March 31, 2009	0.0529
June 30, 2009	0.0771
Sept. 30, 2009	0.0743
Dec. 31, 2009	0.0797
March 31, 2010	0.0843
June 30, 2010	0.1143
Sept. 30, 2010	0.10
Dec. 31, 2010	0.1241
March 31, 2011	0.1586
June 30, 2011	0.18
Sept. 30, 2011	0.1657
Dec. 31, 2011	0.0907
March 31, 2012	-0.0114
June 30, 2012	0.0157
Sept. 30, 2012	0.0186
Dec. 31, 2012	0.0191
March 31, 2013	0.0071
June 30, 2013	0.07
Sept. 30, 2013	0.0743
Dec. 31, 2013	0.1128
March 31, 2014	0.1229
June 30, 2014	0.16
Sept. 30, 2014	0.1371
Dec. 31, 2014	0.1928
March 31, 2015	0.0543
June 30, 2015	0.06
