Date	EPS
Jan. 31, 2003	0.06
April 30, 2003	0.0705
July 31, 2003	0.08
Oct. 31, 2003	0.13
Jan. 31, 2004	0.11
April 30, 2004	0.1016
July 31, 2004	0.13
Oct. 31, 2004	0.15
Jan. 31, 2005	0.16
April 30, 2005	0.1599
July 31, 2005	0.16
Oct. 31, 2005	0.18
Jan. 31, 2006	0.20
April 30, 2006	0.1509
July 31, 2006	0.14
Oct. 31, 2006	0.22
Jan. 31, 2007	0.17
April 30, 2007	0.2327
July 31, 2007	0.09
Oct. 31, 2007	0.23
Jan. 31, 2008	0.29
April 30, 2008	0.2577
July 31, 2008	0.11
Oct. 31, 2008	0.15
Jan. 31, 2009	-0.25
April 30, 2009	0.1966
July 31, 2009	0.15
Oct. 31, 2009	0.27
Jan. 31, 2010	0.30
April 30, 2010	0.3982
July 31, 2010	0.40
Oct. 31, 2010	0.45
Jan. 31, 2011	0.46
April 30, 2011	0.3988
July 31, 2011	0.34
Oct. 31, 2011	0.44
Jan. 31, 2012	0.32
April 30, 2012	0.4732
July 31, 2012	0.17
Oct. 31, 2012	0.30
Jan. 31, 2013	0.43
April 30, 2013	0.4727
July 31, 2013	0.23
Oct. 31, 2013	0.48
Jan. 31, 2014	0.55
April 30, 2014	0.5854
July 31, 2014	0.27
Oct. 31, 2014	0.49
Jan. 31, 2015	0.56
April 30, 2015	0.4311
