Date	EPS
March 31, 2009	0.6951
June 30, 2009	0.4245
Sept. 30, 2009	0.2841
Dec. 31, 2009	1.340
March 31, 2010	0.3881
June 30, 2010	-0.2678
Sept. 30, 2010	0.2643
Dec. 31, 2010	0.6101
March 31, 2011	0.3336
June 30, 2011	-0.3055
Sept. 30, 2011	-0.5621
Dec. 31, 2011	0.2771
March 31, 2012	0.0635
June 30, 2012	-0.2101
Sept. 30, 2012	-0.1338
Dec. 31, 2012	0.5117
March 31, 2013	-0.079
June 30, 2013	0.0853
Sept. 30, 2013	-0.0793
Dec. 31, 2013	0.0934
March 31, 2014	-0.3318
June 30, 2014	-0.1026
Sept. 30, 2014	0.2461
Dec. 31, 2014	0.4173
March 31, 2015	-0.1566
