Date	EPS
April 30, 2003	0.04
July 31, 2003	0.0467
Oct. 31, 2003	0.0133
Jan. 31, 2004	0.0457
April 30, 2004	0.04
July 31, 2004	0.01
Oct. 31, 2004	0.05
Jan. 31, 2005	0.0694
April 30, 2005	0.12
July 31, 2005	0.1333
Oct. 31, 2005	0.1201
Jan. 31, 2006	0.174
April 30, 2006	0.1533
July 31, 2006	0.1467
Oct. 31, 2006	0.1801
Jan. 31, 2007	0.2565
April 30, 2007	0.22
July 31, 2007	0.2867
Oct. 31, 2007	0.38
Jan. 31, 2008	0.4215
April 30, 2008	0.30
July 31, 2008	-0.22
Oct. 31, 2008	0.11
Jan. 31, 2009	-0.2747
April 30, 2009	-0.37
July 31, 2009	-0.19
Oct. 31, 2009	0.19
Jan. 31, 2010	0.2349
April 30, 2010	0.23
July 31, 2010	-0.25
Oct. 31, 2010	0.15
Jan. 31, 2011	0.2855
April 30, 2011	0.22
July 31, 2011	0.25
Oct. 31, 2011	0.29
Jan. 31, 2012	0.1867
April 30, 2012	0.10
July 31, 2012	0.19
Oct. 31, 2012	0.33
Jan. 31, 2013	0.2797
April 30, 2013	0.13
July 31, 2013	0.16
Oct. 31, 2013	0.20
Jan. 31, 2014	0.2543
April 30, 2014	0.24
July 31, 2014	0.22
Oct. 31, 2014	0.31
Jan. 31, 2015	0.3478
April 30, 2015	0.24
July 31, 2015	0.05
