Date	EPS
March 31, 2009	-2.69
June 30, 2009	1.69
Sept. 30, 2009	1.93
Dec. 31, 2009	-1.710
March 31, 2010	-1.56
June 30, 2010	-1.63
Sept. 30, 2010	1.57
Dec. 31, 2010	-0.4728
March 31, 2011	0.73
June 30, 2011	0.33
Sept. 30, 2011	1.21
Dec. 31, 2011	-0.7379
March 31, 2012	-0.47
June 30, 2012	-0.36
Sept. 30, 2012	0.45
Dec. 31, 2012	-0.10
March 31, 2013	-0.06
June 30, 2013	0.43
Sept. 30, 2013	0.60
Dec. 31, 2013	0.37
March 31, 2014	0.43
June 30, 2014	0.64
Sept. 30, 2014	0.49
Dec. 31, 2014	0.6144
March 31, 2015	-0.46
June 30, 2015	1.23
