Date	EPS
Feb. 28, 2003	0.11
May 31, 2003	0.1602
Aug. 31, 2003	0.08
Nov. 30, 2003	0.12
Feb. 29, 2004	0.12
May 31, 2004	0.1874
Aug. 31, 2004	0.10
Nov. 30, 2004	0.16
Feb. 28, 2005	0.10
May 31, 2005	0.1951
Aug. 31, 2005	0.10
Nov. 30, 2005	0.15
Feb. 28, 2006	0.14
May 31, 2006	0.2424
Aug. 31, 2006	0.13
Nov. 30, 2006	0.18
Feb. 28, 2007	0.20
May 31, 2007	0.307
Aug. 31, 2007	0.16
Nov. 30, 2007	0.25
Feb. 29, 2008	0.26
May 31, 2008	0.3893
Aug. 31, 2008	0.21
Nov. 30, 2008	0.25
Feb. 28, 2009	0.26
May 31, 2009	0.375
Aug. 31, 2009	0.22
Nov. 30, 2009	0.29
Feb. 28, 2010	0.23
May 31, 2010	0.4642
Aug. 31, 2010	0.27
Nov. 30, 2010	0.37
Feb. 28, 2011	0.41
May 31, 2011	0.6218
Aug. 31, 2011	0.36
Nov. 30, 2011	0.43
Feb. 29, 2012	0.49
May 31, 2012	0.6868
Aug. 31, 2012	0.41
Nov. 30, 2012	0.53
Feb. 28, 2013	0.52
May 31, 2013	0.8001
Aug. 31, 2013	0.47
Nov. 30, 2013	0.56
Feb. 28, 2014	0.56
May 31, 2014	0.7982
Aug. 31, 2014	0.48
Nov. 30, 2014	0.56
Feb. 28, 2015	0.56
May 31, 2015	0.6176
