Date	EPS
Dec. 31, 2002	0.0067
March 31, 2003	1.055
June 30, 2003	0.665
Sept. 30, 2003	0.865
Dec. 31, 2003	0.0314
March 31, 2004	0.61
June 30, 2004	0.595
Sept. 30, 2004	0.84
Dec. 31, 2004	0.1557
March 31, 2005	0.935
June 30, 2005	0.965
Sept. 30, 2005	1.22
Dec. 31, 2005	0.3213
March 31, 2006	0.72
June 30, 2006	0.38
Sept. 30, 2006	0.80
Dec. 31, 2006	0.254
March 31, 2007	0.98
June 30, 2007	0.99
Sept. 30, 2007	1.74
Dec. 31, 2007	0.2564
March 31, 2008	1.02
June 30, 2008	1.42
Sept. 30, 2008	0.68
Dec. 31, 2008	0.4937
March 31, 2009	0.60
June 30, 2009	0.90
Sept. 30, 2009	0.86
Dec. 31, 2009	0.8052
March 31, 2010	0.98
June 30, 2010	0.96
Sept. 30, 2010	1.06
Dec. 31, 2010	1.035
March 31, 2011	1.00
June 30, 2011	1.06
Sept. 30, 2011	0.5359
Dec. 31, 2011	0.7067
March 31, 2012	0.7785
June 30, 2012	-0.10
Sept. 30, 2012	0.4226
Dec. 31, 2012	0.5769
March 31, 2013	0.60
June 30, 2013	0.46
Sept. 30, 2013	0.2306
Dec. 31, 2013	0.4232
March 31, 2014	0.34
June 30, 2014	0.3411
Sept. 30, 2014	-0.3296
Dec. 31, 2014	-1.532
March 31, 2015	0.28
