Date	EPS
March 31, 2003	0.065
June 30, 2003	0.115
Sept. 30, 2003	0.1779
Dec. 31, 2003	0.21
March 31, 2004	0.29
June 30, 2004	0.29
Sept. 30, 2004	0.2322
Dec. 31, 2004	0.30
March 31, 2005	0.31
June 30, 2005	0.33
Sept. 30, 2005	0.3193
Dec. 31, 2005	0.36
March 31, 2006	0.34
June 30, 2006	0.37
Sept. 30, 2006	0.3627
Dec. 31, 2006	0.38
March 31, 2007	0.43
June 30, 2007	0.47
Sept. 30, 2007	0.6698
Dec. 31, 2007	0.46
March 31, 2008	0.47
June 30, 2008	0.45
Sept. 30, 2008	0.5232
Dec. 31, 2008	0.20
March 31, 2009	-0.18
June 30, 2009	0.44
Sept. 30, 2009	0.4751
Dec. 31, 2009	0.50
March 31, 2010	0.46
June 30, 2010	0.47
Sept. 30, 2010	0.5333
Dec. 31, 2010	0.71
March 31, 2011	0.59
June 30, 2011	0.61
Sept. 30, 2011	0.6147
Dec. 31, 2011	0.81
March 31, 2012	1.28
June 30, 2012	0.69
Sept. 30, 2012	0.7288
Dec. 31, 2012	1.09
March 31, 2013	1.06
June 30, 2013	0.90
Sept. 30, 2013	0.8646
Dec. 31, 2013	1.09
March 31, 2014	1.14
June 30, 2014	1.31
Sept. 30, 2014	1.113
Dec. 31, 2014	1.17
March 31, 2015	0.63
June 30, 2015	0.73
