Date	EPS
Feb. 28, 2003	-0.0024
May 31, 2003	0.01
Aug. 31, 2003	0.02
Nov. 30, 2003	0.02
Feb. 29, 2004	0.0178
May 31, 2004	0.06
Aug. 31, 2004	0.06
Nov. 30, 2004	0.06
Feb. 28, 2005	0.0563
May 31, 2005	0.07
Aug. 31, 2005	0.09
Nov. 30, 2005	0.12
Feb. 28, 2006	0.1337
May 31, 2006	0.07
Aug. 31, 2006	0.05
Nov. 30, 2006	0.07
Feb. 28, 2007	0.0933
May 31, 2007	0.08
Aug. 31, 2007	0.09
Nov. 30, 2007	0.10
Feb. 29, 2008	0.1014
May 31, 2008	0.08
Aug. 31, 2008	0.10
Nov. 30, 2008	0.12
Feb. 28, 2009	0.0805
May 31, 2009	0.10
Aug. 31, 2009	0.15
Nov. 30, 2009	0.08
Feb. 28, 2010	0.1205
May 31, 2010	0.12
Aug. 31, 2010	0.12
Nov. 30, 2010	0.13
Feb. 28, 2011	0.1692
May 31, 2011	0.17
Aug. 31, 2011	0.20
Nov. 30, 2011	0.19
Feb. 29, 2012	0.1832
May 31, 2012	0.19
Aug. 31, 2012	0.18
Nov. 30, 2012	0.18
Feb. 28, 2013	0.2198
May 31, 2013	0.21
Aug. 31, 2013	0.21
Nov. 30, 2013	0.27
Feb. 28, 2014	0.2347
May 31, 2014	0.20
Aug. 31, 2014	0.25
Nov. 30, 2014	0.26
Feb. 28, 2015	0.2554
May 31, 2015	0.26
