Date	EPS
Dec. 31, 2002	0.12
March 31, 2003	1.18
June 30, 2003	0.00
Sept. 30, 2003	-0.35
Dec. 31, 2003	0.0309
March 31, 2004	0.16
June 30, 2004	0.16
Sept. 30, 2004	-1.32
Dec. 31, 2004	-0.38
March 31, 2005	0.31
June 30, 2005	0.40
Sept. 30, 2005	0.23
Dec. 31, 2005	0.0654
March 31, 2006	0.14
June 30, 2006	0.12
Sept. 30, 2006	0.09
Dec. 31, 2006	0.0894
March 31, 2007	-0.07
June 30, 2007	0.01
Sept. 30, 2007	0.02
Dec. 31, 2007	-10.36
March 31, 2008	-0.18
June 30, 2008	-0.12
Sept. 30, 2008	-0.11
Dec. 31, 2008	-0.5597
March 31, 2009	-0.21
June 30, 2009	-0.13
Sept. 30, 2009	-0.17
Dec. 31, 2009	-0.3382
March 31, 2010	-0.29
June 30, 2010	-0.25
Sept. 30, 2010	-0.30
Dec. 31, 2010	-0.3106
March 31, 2011	-0.15
June 30, 2011	-0.28
Sept. 30, 2011	-0.10
Dec. 31, 2011	-0.4346
March 31, 2012	-0.29
June 30, 2012	-0.46
Sept. 30, 2012	-0.26
Dec. 31, 2012	-0.4399
March 31, 2013	-0.21
June 30, 2013	-0.53
Sept. 30, 2013	-0.18
Dec. 31, 2013	-0.2631
June 30, 2014	0.01
Sept. 30, 2014	-0.19
Dec. 31, 2014	-0.60
March 31, 2015	-0.0565
June 30, 2015	-0.01
