Date	EPS
March 31, 2003	0.1604
June 30, 2003	0.2012
Sept. 30, 2003	0.2277
Dec. 31, 2003	0.4041
March 31, 2004	0.2307
June 30, 2004	0.2408
Sept. 30, 2004	0.2874
Dec. 31, 2004	0.5632
March 31, 2005	0.2688
June 30, 2005	0.292
Sept. 30, 2005	0.3291
Dec. 31, 2005	0.572
March 31, 2006	0.2765
June 30, 2006	0.4278
Sept. 30, 2006	0.4043
Dec. 31, 2006	0.8358
March 31, 2007	0.3396
June 30, 2007	0.4989
Sept. 30, 2007	0.4675
Dec. 31, 2007	0.9028
March 31, 2008	0.3153
June 30, 2008	0.5001
Sept. 30, 2008	0.4937
Dec. 31, 2008	0.8996
March 31, 2009	0.2091
June 30, 2009	0.4902
Sept. 30, 2009	0.5434
Dec. 31, 2009	0.8444
March 31, 2010	0.4567
June 30, 2010	0.5214
Sept. 30, 2010	0.5423
Dec. 31, 2010	0.4957
March 31, 2011	0.4645
June 30, 2011	0.7052
Sept. 30, 2011	1.485
Dec. 31, 2011	1.356
March 31, 2012	0.4852
June 30, 2012	0.7059
Sept. 30, 2012	0.65
Dec. 31, 2012	1.172
March 31, 2013	0.5807
June 30, 2013	0.7967
Sept. 30, 2013	0.8482
Dec. 31, 2013	1.504
March 31, 2014	0.6166
June 30, 2014	0.6448
Sept. 30, 2014	0.9675
Dec. 31, 2014	1.365
March 31, 2015	0.3949
June 30, 2015	0.4313
