Date	eps
Sept. 30, 2003	0.0429
Dec. 31, 2003	0.0675
March 31, 2004	0.0475
June 30, 2004	0.06
Sept. 30, 2004	0.0551
Dec. 31, 2004	0.085
March 31, 2005	0.06
June 30, 2005	0.08
Sept. 30, 2005	0.0777
Dec. 31, 2005	0.11
March 31, 2006	0.08
June 30, 2006	0.09
Sept. 30, 2006	0.0748
Dec. 31, 2006	0.13
March 31, 2007	0.095
June 30, 2007	0.105
Sept. 30, 2007	0.1043
Dec. 31, 2007	0.14
March 31, 2008	0.075
June 30, 2008	-0.005
Sept. 30, 2008	0.0036
Dec. 31, 2008	0.045
March 31, 2009	0.015
June 30, 2009	0.10
Sept. 30, 2009	0.099
Dec. 31, 2009	0.16
March 31, 2010	0.14
June 30, 2010	0.135
Sept. 30, 2010	0.1834
Dec. 31, 2010	0.225
March 31, 2011	0.17
June 30, 2011	0.18
Sept. 30, 2011	0.2331
Dec. 31, 2011	0.25
March 31, 2012	0.20
June 30, 2012	0.215
Sept. 30, 2012	0.2319
Dec. 31, 2012	0.285
March 31, 2013	0.255
June 30, 2013	0.275
Sept. 30, 2013	-0.8188
Dec. 31, 2013	0.355
March 31, 2014	0.28
June 30, 2014	0.34
Sept. 30, 2014	0.3863
Dec. 31, 2014	0.65
March 31, 2015	0.33
June 30, 2015	0.41
Sept. 30, 2015	0.4336
Dec. 31, 2015	0.46
