Date	EPS
March 31, 2003	0.165
June 30, 2003	0.26
Sept. 30, 2003	0.09
Dec. 31, 2003	0.4617
March 31, 2004	0.34
June 30, 2004	0.38
Sept. 30, 2004	0.29
Dec. 31, 2004	0.4153
March 31, 2005	0.39
June 30, 2005	0.37
Sept. 30, 2005	0.55
Dec. 31, 2005	0.6781
March 31, 2006	0.17
June 30, 2006	0.47
Sept. 30, 2006	0.51
Dec. 31, 2006	-0.1667
March 31, 2007	-0.0025
June 30, 2007	0.12
Sept. 30, 2007	0.36
Dec. 31, 2007	0.4494
March 31, 2008	0.05
June 30, 2008	-0.33
Sept. 30, 2008	-0.74
Dec. 31, 2008	-7.776
March 31, 2009	-0.92
June 30, 2009	0.23
Sept. 30, 2009	0.99
Dec. 31, 2009	1.444
March 31, 2010	0.99
June 30, 2010	1.08
Sept. 30, 2010	1.34
Dec. 31, 2010	2.041
March 31, 2011	0.92
June 30, 2011	1.02
Sept. 30, 2011	0.96
Dec. 31, 2011	1.139
March 31, 2012	0.46
June 30, 2012	0.05
Sept. 30, 2012	0.31
Dec. 31, 2012	0.8734
March 31, 2013	0.68
June 30, 2013	1.06
Sept. 30, 2013	1.18
Dec. 31, 2013	1.443
March 31, 2014	1.14
June 30, 2014	1.14
Sept. 30, 2014	1.09
Dec. 31, 2014	0.8591
March 31, 2015	0.17
June 30, 2015	0.38
