Date	EPS
March 31, 2003	-0.04
June 30, 2003	-0.04
Sept. 30, 2003	-0.3007
Dec. 31, 2003	0.03
March 31, 2004	-0.06
June 30, 2004	0.08
Sept. 30, 2004	0.0999
Dec. 31, 2004	0.09
March 31, 2005	0.01
June 30, 2005	0.05
Sept. 30, 2005	0.0192
Dec. 31, 2005	0.03
March 31, 2006	0.01
June 30, 2006	0.02
Sept. 30, 2006	-0.6013
Dec. 31, 2006	0.07
March 31, 2007	0.08
June 30, 2007	0.07
Sept. 30, 2007	0.1371
Dec. 31, 2007	0.12
March 31, 2008	0.10
June 30, 2008	0.12
Sept. 30, 2008	0.3241
Dec. 31, 2008	0.14
March 31, 2009	-0.03
June 30, 2009	0.11
Sept. 30, 2009	0.3294
Dec. 31, 2009	0.16
March 31, 2010	0.15
June 30, 2010	0.19
Sept. 30, 2010	0.2534
Dec. 31, 2010	0.32
March 31, 2011	0.26
June 30, 2011	0.27
Sept. 30, 2011	0.3366
Dec. 31, 2011	0.30
March 31, 2012	0.18
June 30, 2012	0.26
Sept. 30, 2012	0.3172
Dec. 31, 2012	0.34
March 31, 2013	0.32
June 30, 2013	0.34
Sept. 30, 2013	0.4422
Dec. 31, 2013	0.49
March 31, 2014	0.40
June 30, 2014	0.58
Sept. 30, 2014	0.9025
Dec. 31, 2014	1.01
March 31, 2015	0.85
June 30, 2015	1.06
