Date	EPS
Jan. 31, 2003	0.7176
April 30, 2003	0.38
July 31, 2003	0.39
Oct. 31, 2003	0.33
Jan. 31, 2004	0.5882
April 30, 2004	0.47
July 31, 2004	1.53
Oct. 31, 2004	0.59
Jan. 31, 2005	0.9138
April 30, 2005	0.55
July 31, 2005	0.61
Oct. 31, 2005	0.49
Jan. 31, 2006	1.061
April 30, 2006	0.63
July 31, 2006	0.70
Oct. 31, 2006	0.59
Jan. 31, 2007	1.293
April 30, 2007	0.75
July 31, 2007	0.80
Oct. 31, 2007	0.56
Jan. 31, 2008	1.232
April 30, 2008	0.74
July 31, 2008	0.82
Oct. 31, 2008	0.49
Jan. 31, 2009	0.8076
April 30, 2009	0.69
July 31, 2009	0.79
Oct. 31, 2009	0.58
Jan. 31, 2010	1.238
April 30, 2010	0.90
July 31, 2010	0.92
Oct. 31, 2010	0.74
Jan. 31, 2011	1.449
April 30, 2011	0.99
July 31, 2011	1.03
Oct. 31, 2011	0.82
Jan. 31, 2012	1.454
April 30, 2012	1.04
July 31, 2012	1.06
Oct. 31, 2012	0.96
Jan. 31, 2013	1.465
April 30, 2013	0.77
July 31, 2013	0.95
Oct. 31, 2013	0.54
Jan. 31, 2014	0.8148
April 30, 2014	0.66
July 31, 2014	0.37
Oct. 31, 2014	0.55
Jan. 31, 2015	-4.138
April 30, 2015	0.98
