Date	EPS
March 31, 2005	0.14
June 30, 2005	0.92
Sept. 30, 2005	0.034
Dec. 31, 2005	0.0181
March 31, 2006	0.026
June 30, 2006	0.04
Sept. 30, 2006	0.0533
Dec. 31, 2006	-0.0984
March 31, 2007	0.0733
June 30, 2007	0.34
Sept. 30, 2007	0.30
Dec. 31, 2007	-0.2709
March 31, 2008	0.22
June 30, 2008	0.28
Sept. 30, 2008	0.26
Dec. 31, 2008	0.0822
March 31, 2009	0.24
June 30, 2009	0.14
Sept. 30, 2009	0.42
Dec. 31, 2009	0.187
March 31, 2010	0.12
June 30, 2010	0.44
Sept. 30, 2010	0.44
Dec. 31, 2010	0.0758
March 31, 2011	0.30
June 30, 2011	0.46
Sept. 30, 2011	0.38
Dec. 31, 2011	0.5012
March 31, 2012	0.12
June 30, 2012	0.78
Sept. 30, 2012	-28.90
Dec. 31, 2012	-0.0299
March 31, 2013	0.40
June 30, 2013	-0.02
Sept. 30, 2013	-0.05
Dec. 31, 2013	-0.0262
March 31, 2014	-0.19
June 30, 2014	0.48
Sept. 30, 2014	-0.12
Dec. 31, 2014	0.1227
March 31, 2015	-0.09
June 30, 2015	0.42
