Date	EPS
Dec. 31, 2007	0.1375
March 31, 2008	0.05
June 30, 2008	0.1275
Sept. 30, 2008	-0.0303
Dec. 31, 2008	0.185
March 31, 2009	0.1775
June 30, 2009	0.1575
Sept. 30, 2009	0.2328
Dec. 31, 2009	0.255
March 31, 2010	0.24
June 30, 2010	0.2425
Sept. 30, 2010	0.2651
Dec. 31, 2010	0.3075
March 31, 2011	0.3075
June 30, 2011	0.3575
Sept. 30, 2011	0.3179
Dec. 31, 2011	0.3725
March 31, 2012	0.4775
June 30, 2012	-0.685
Sept. 30, 2012	0.6211
Dec. 31, 2012	0.4825
March 31, 2013	0.48
June 30, 2013	0.47
Sept. 30, 2013	0.4627
Dec. 31, 2013	0.55
March 31, 2014	0.63
June 30, 2014	0.54
Sept. 30, 2014	0.4297
Dec. 31, 2014	0.6325
March 31, 2015	0.63
June 30, 2015	0.69
