Date	eps
March 31, 2005	0.05
June 30, 2005	0.05
Sept. 30, 2005	0.05
Dec. 31, 2005	0.0502
March 31, 2006	0.06
June 30, 2006	0.0667
Sept. 30, 2006	0.0667
Dec. 31, 2006	0.0655
March 31, 2007	0.12
June 30, 2007	0.10
Sept. 30, 2007	0.18
Dec. 31, 2007	0.1942
March 31, 2008	0.11
June 30, 2008	0.13
Sept. 30, 2008	0.21
Dec. 31, 2008	0.2804
March 31, 2009	0.18
June 30, 2009	0.08
Sept. 30, 2009	0.09
Dec. 31, 2009	0.1387
March 31, 2010	0.19
June 30, 2010	0.18
Sept. 30, 2010	0.20
Dec. 31, 2010	0.2801
March 31, 2011	0.29
June 30, 2011	0.51
Sept. 30, 2011	0.41
Dec. 31, 2011	0.4645
March 31, 2012	0.44
June 30, 2012	0.44
Sept. 30, 2012	0.36
Dec. 31, 2012	0.4748
March 31, 2013	0.40
June 30, 2013	0.57
Sept. 30, 2013	0.60
Dec. 31, 2013	0.7703
March 31, 2014	0.46
June 30, 2014	0.38
Sept. 30, 2014	0.45
Dec. 31, 2014	0.751
March 31, 2015	0.45
June 30, 2015	0.40
