Date	EPS
March 31, 2007	-0.29
June 30, 2007	0.38
Sept. 30, 2007	0.09
Dec. 31, 2007	0.24
March 31, 2008	-1.42
June 30, 2008	0.46
Sept. 30, 2008	5.90
Dec. 31, 2008	-1.158
March 31, 2009	-3.98
June 30, 2009	-0.54
Sept. 30, 2009	0.05
Dec. 31, 2009	-2.551
March 31, 2010	1.15
June 30, 2010	0.19
Sept. 30, 2010	0.09
Dec. 31, 2010	-0.2177
March 31, 2011	-1.01
June 30, 2011	1.05
Sept. 30, 2011	2.50
Dec. 31, 2011	-0.4212
March 31, 2012	-0.04
June 30, 2012	1.98
Sept. 30, 2012	-1.29
Dec. 31, 2012	-3.433
March 31, 2013	-0.42
June 30, 2013	1.14
Sept. 30, 2013	0.02
Dec. 31, 2013	0.0112
March 31, 2014	0.16
June 30, 2014	-0.12
Sept. 30, 2014	1.30
Dec. 31, 2014	-0.7996
March 31, 2015	-1.49
June 30, 2015	-9.27
