Date	EPS
March 31, 2003	0.87
June 30, 2003	0.12
Sept. 30, 2003	0.64
Dec. 31, 2003	-0.5273
March 31, 2004	0.43
June 30, 2004	0.64
Sept. 30, 2004	0.64
Dec. 31, 2004	1.076
March 31, 2005	0.63
June 30, 2005	0.75
Sept. 30, 2005	0.67
Dec. 31, 2005	0.5892
March 31, 2006	0.56
June 30, 2006	0.55
Sept. 30, 2006	0.66
Dec. 31, 2006	0.3538
March 31, 2007	0.51
June 30, 2007	0.58
Sept. 30, 2007	0.44
Dec. 31, 2007	0.3709
March 31, 2008	0.57
June 30, 2008	0.66
Sept. 30, 2008	0.59
Dec. 31, 2008	0.4349
March 31, 2009	0.58
June 30, 2009	0.52
Sept. 30, 2009	0.41
Dec. 31, 2009	0.2077
March 31, 2010	0.16
June 30, 2010	-0.42
Sept. 30, 2010	0.23
Dec. 31, 2010	0.9286
March 31, 2011	0.51
June 30, 2011	0.57
Sept. 30, 2011	0.49
Dec. 31, 2011	-0.7133
March 31, 2012	0.59
June 30, 2012	0.64
Sept. 30, 2012	0.56
Dec. 31, 2012	-1.478
March 31, 2013	0.68
June 30, 2013	0.78
Sept. 30, 2013	0.78
Dec. 31, 2013	1.763
March 31, 2014	1.15
June 30, 2014	1.01
Sept. 30, 2014	0.89
Dec. 31, 2014	-0.5363
March 31, 2015	1.02
June 30, 2015	1.04
