Date	EPS
Jan. 31, 2003	0.551
April 30, 2003	0.42
July 31, 2003	0.56
Oct. 31, 2003	0.46
Jan. 31, 2004	0.6274
April 30, 2004	0.50
July 31, 2004	0.62
Oct. 31, 2004	0.54
Jan. 31, 2005	0.7417
April 30, 2005	0.58
July 31, 2005	0.67
Oct. 31, 2005	0.57
Jan. 31, 2006	0.8612
April 30, 2006	0.63
July 31, 2006	0.50
Oct. 31, 2006	0.63
Jan. 31, 2007	0.9478
April 30, 2007	0.68
July 31, 2007	0.72
Oct. 31, 2007	0.70
Jan. 31, 2008	1.025
April 30, 2008	0.76
July 31, 2008	0.87
Oct. 31, 2008	0.80
Jan. 31, 2009	0.9634
April 30, 2009	0.77
July 31, 2009	0.89
Oct. 31, 2009	0.81
Jan. 31, 2010	1.246
April 30, 2010	0.87
July 31, 2010	0.97
Oct. 31, 2010	0.95
Jan. 31, 2011	1.700
April 30, 2011	0.97
July 31, 2011	1.09
Oct. 31, 2011	0.96
Jan. 31, 2012	1.503
April 30, 2012	1.09
July 31, 2012	1.18
Oct. 31, 2012	1.08
Jan. 31, 2013	1.670
April 30, 2013	1.14
July 31, 2013	1.24
Oct. 31, 2013	1.14
Jan. 31, 2014	1.362
April 30, 2014	1.11
July 31, 2014	1.26
Oct. 31, 2014	1.15
Jan. 31, 2015	1.531
April 30, 2015	1.03
